country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Moldova,China,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1737,1738,0,0,0,0,0,0,0,0,0,5.753739930955121e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.753739930955121e-4,0,0
Moldova,China,2012-02-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1949,1951,0,0,0,0,0,0,0,0,0,5.125576627370579e-4,0,5.125576627370579e-4,0,0,0,0,0,0,0,0,0,5.125576627370579e-4,0,0,5.125576627370579e-4,0,0
Moldova,China,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,China,2012-04-01,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1678,1681,5.94883997620464e-4,0,0,0,5.94883997620464e-4,0,0,0,0,5.94883997620464e-4,0,0,0,0,0,0,0,0,0,0,0,5.94883997620464e-4,0,5.94883997620464e-4,5.94883997620464e-4,0,0
Moldova,China,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,China,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2006,2007,0,0,0,0,0,0,0,0,0,0,0,4.982561036372695e-4,0,0,0,0,0,0,0,0,0,4.982561036372695e-4,0,0,0,0,0
Moldova,China,2012-07-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2010,0,0,0,0,0,0,0,4.975124378109452e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.975124378109452e-4,0,0,0
Moldova,China,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1854,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,China,2012-09-01,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1992,1994,5.015045135406219e-4,0,0,0,0,0,0,0,0,0,0,5.015045135406219e-4,0,0,0,0,0,0,0,0,0,0.0010030090270812437,0,0,0,0,0
Moldova,China,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1886,1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.299417064122947e-4,0,0,0,0,0,5.299417064122947e-4,0,0
Moldova,China,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1951,1952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.122950819672131e-4,0,0,0,0,0,5.122950819672131e-4,0,0
Moldova,China,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1840,1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,China,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1818,1821,0,0,0,0,0,0,0,0,0,5.491488193300384e-4,0,5.491488193300384e-4,5.491488193300384e-4,0,0,0,0,0,0,0,0,5.491488193300384e-4,0,0,5.491488193300384e-4,0,5.491488193300384e-4
