country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Morocco,China,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1886,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,China,2012-02-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1741,1743,0,0,0,0,0,0,0,0,0,0.0011474469305794606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011474469305794606,0,0
Morocco,China,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1827,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.467468562055768e-4,0,5.467468562055768e-4,0,0,0,0,0,0,0,0,5.467468562055768e-4,5.467468562055768e-4
Morocco,China,2012-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1810,1813,0,0,0,0,0,5.515719801434088e-4,0,0,0,0,0,0,0,5.515719801434088e-4,0,0,0,0,5.515719801434088e-4,0,0,5.515719801434088e-4,0,5.515719801434088e-4,5.515719801434088e-4,0,0
Morocco,China,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1829,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,China,2012-06-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1644,1646,0,0,0,0,0,0,0,0,0,6.075334143377885e-4,0,0,0,0,0,0,0,0,0,6.075334143377885e-4,0,0,0,0,0.001215066828675577,0,0
Morocco,China,2012-07-01,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1605,1608,0,0,0,0,0,0,0,0,0,0,0.0012437810945273632,0,0,0,0,0,0,0,6.218905472636816e-4,0,0,0,0,0,6.218905472636816e-4,0.0012437810945273632,0
Morocco,China,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1545,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.464124111182935e-4,0,0,6.464124111182935e-4,0,0,0,0,6.464124111182935e-4,0,6.464124111182935e-4
Morocco,China,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1537,1538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.501950585175553e-4,0,0,0,0,0,0,0,0,0,6.501950585175553e-4
Morocco,China,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1608,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.215040397762585e-4,0,0,0,0,0,0,0,0,0,6.215040397762585e-4
Morocco,China,2012-11-01,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1705,1708,5.85480093676815e-4,0,0,0,0,5.85480093676815e-4,0,0,0,5.85480093676815e-4,0,0,0,0,0,0,0,0,0,0,0,5.85480093676815e-4,0,5.85480093676815e-4,5.85480093676815e-4,0,0
Morocco,China,2012-12-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1707,1708,0,0,0,0,0,0,5.85480093676815e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.85480093676815e-4,0,0,0
Morocco,China,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1586,1586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,China,2013-02-01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1514,1517,0,0,0,6.591957811470006e-4,0,0,0,0,0,0,0,6.591957811470006e-4,0,0,0,0,0,6.591957811470006e-4,0,0,0,6.591957811470006e-4,0,6.591957811470006e-4,6.591957811470006e-4,0,0
Morocco,China,2013-03-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1598,1599,0,0,0,0,0,6.253908692933083e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.253908692933083e-4,0,0,0
Morocco,China,2013-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1717,1718,0,0,0,0,0,0,5.820721769499418e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.820721769499418e-4,0,0,0
