country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Morocco,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1803,1886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1663,1743,0,0,0,0,0,0,0,0,0,5.737234652897303e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.737234652897303e-4,0,0
Morocco,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1720,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.467468562055768e-4,0,0,0,0,0,0,0,0,0,5.467468562055768e-4
Morocco,Combined,2012-04-01,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1722,1813,0,0,0,0,5.515719801434088e-4,5.515719801434088e-4,0,0,0,0,0,0,0,0,0,0,0,0,5.515719801434088e-4,0,0,0,0,0.0011031439602868175,5.515719801434088e-4,0,0
Morocco,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1762,1829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.467468562055768e-4,0,0,0,0,0,5.467468562055768e-4,0,0,0,0,0
Morocco,Combined,2012-06-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1564,1646,0,0,0,0,0,0,6.075334143377885e-4,0,0,6.075334143377885e-4,0,0,0,0,0,0,0,0,0,6.075334143377885e-4,0,0,0,6.075334143377885e-4,0.001215066828675577,0,0
Morocco,Combined,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1497,1608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1454,1547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.464124111182935e-4,0,0,6.464124111182935e-4,0,0,0,0,6.464124111182935e-4,0,6.464124111182935e-4
Morocco,Combined,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1464,1538,0,0,0,0,0,0,0,0,0,0,0,0.0013003901170351106,0,0,0,0,0,0,0,0,0,0.0013003901170351106,0,0,0,0,0
Morocco,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1521,1609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.215040397762585e-4,0,0,0,0,0,0,0,0,0,6.215040397762585e-4
