country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Nepal,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014705882352941176,0,0,0,0,0,0,0,0,0,0.014705882352941176
Nepal,Russia,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2013-01-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,43,0,0,0,0.023255813953488372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023255813953488372,0,0,0
Nepal,Russia,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03225806451612903,0,0,0,0,0,0,0,0.03225806451612903,0,0,0,0,0
Nepal,Russia,2013-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,44,45,0,0,0,0,0,0,0,0,0,0.022222222222222223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022222222222222223,0,0
Nepal,Russia,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2013-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,62,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03076923076923077,0,0,0.015384615384615385,0,0,0,0,0.03076923076923077,0,0,0,0,0.015384615384615385
Nepal,Russia,2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,362,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2014-02-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,333,335,0,0,0,0,0,0,0,0,0.0029850746268656717,0,0,0,0,0.0029850746268656717,0,0,0,0,0,0,0,0.0029850746268656717,0,0,0.0029850746268656717,0,0
Nepal,Russia,2014-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,363,366,0,0,0,0,0,0,0,0,0,0,0,0.00273224043715847,0,0.00546448087431694,0,0,0,0,0,0,0,0.00819672131147541,0,0,0,0,0
Nepal,Russia,2014-04-01,0,0,0,0,0,0,2,0,0,0,0,1,0,4,0,0,0,0,0,0,0,393,400,0,0,0,0,0,0,0.005,0,0,0,0,0.0025,0,0.01,0,0,0,0,0,0,0,0.0125,0,0.005,0,0,0
Nepal,Russia,2014-05-01,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,325,330,0,0,0,0,0.0030303030303030303,0,0,0,0,0,0,0.0030303030303030303,0,0.006060606060606061,0.0030303030303030303,0,0,0,0,0,0,0.00909090909090909,0,0.0030303030303030303,0,0.0030303030303030303,0
Nepal,Russia,2014-06-01,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363,365,0,0,0,0,0.0027397260273972603,0,0.0027397260273972603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005479452054794521,0,0,0
Nepal,Russia,2014-07-01,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,665,669,0,0,0,0.0014947683109118087,0,0,0,0,0,0,0,0,0,0.004484304932735426,0,0,0,0,0,0,0,0.004484304932735426,0,0.0014947683109118087,0,0,0
Nepal,Russia,2014-08-01,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,846,851,0,0,0,0,0.0011750881316098707,0,0,0,0.0011750881316098707,0.0011750881316098707,0,0,0,0.0011750881316098707,0,0,0,0,0,0.0011750881316098707,0,0.0011750881316098707,0,0.0011750881316098707,0.003525264394829612,0,0
Nepal,Russia,2014-09-01,0,0,0,0,3,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,717,728,0,0,0,0,0.004120879120879121,0,0,0,0,0,0,0.0027472527472527475,0,0.008241758241758242,0,0,0,0,0,0,0,0.01098901098901099,0,0.004120879120879121,0,0,0
Nepal,Russia,2014-10-01,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,619,623,0,0,0,0,0,0,0.0016051364365971107,0,0,0.0016051364365971107,0,0,0,0.0016051364365971107,0.0016051364365971107,0,0,0,0,0,0,0.0016051364365971107,0,0.0016051364365971107,0.0016051364365971107,0.0016051364365971107,0
Nepal,Russia,2014-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,685,693,0,0,0,0,0,0,0,0,0,0.001443001443001443,0,0,0,0.008658008658008658,0.001443001443001443,0,0,0,0,0,0,0.008658008658008658,0,0,0.001443001443001443,0.001443001443001443,0
Nepal,Russia,2014-12-01,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,2,0,722,730,0,0,0,0,0,0,0,0,0,0.0027397260273972603,0,0.0013698630136986301,0,0.00410958904109589,0,0,0,0,0,0.0027397260273972603,0,0.005479452054794521,0,0,0.005479452054794521,0,0
Nepal,Russia,2015-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,721,723,0,0,0,0,0,0,0,0,0.0013831258644536654,0,0,0,0,0,0,0,0,0,0,0.0013831258644536654,0,0,0,0,0.0027662517289073307,0,0
Nepal,Russia,2015-02-01,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,631,638,0,0,0,0.001567398119122257,0.001567398119122257,0,0,0,0,0,0,0.006269592476489028,0,0.001567398119122257,0,0,0,0,0,0,0,0.007836990595611285,0,0.003134796238244514,0,0,0
Nepal,Russia,2015-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,664,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003003003003003003,0,0,0,0,0,0,0,0.003003003003003003,0,0,0,0,0
Nepal,Russia,2015-04-01,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1299,1303,0,0,0,7.674597083653108e-4,0,0,0,0,0,0,0,0.0015349194167306216,0,7.674597083653108e-4,0,0,0,0,0,0,0,0.0023023791250959325,0,7.674597083653108e-4,0,0,0
Nepal,Russia,2015-05-01,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1169,1172,0,0,0,8.532423208191126e-4,0,0,0,0,0,0,0,8.532423208191126e-4,0,8.532423208191126e-4,0,0,0,0,0,0,0,0.0017064846416382253,0,8.532423208191126e-4,0,0,0
Nepal,Russia,2015-06-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2331,2334,4.284490145672665e-4,0,0,0,0,0,0,0,0,0,0,0,0,4.284490145672665e-4,0,0,0,4.284490145672665e-4,0,0,0,8.56898029134533e-4,0,0,4.284490145672665e-4,0,0
Nepal,Russia,2015-07-01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2887,2891,0,3.459010722933241e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.918021445866483e-4,3.459010722933241e-4,0,0,3.459010722933241e-4,0,0.0010377032168799724,0,0
Nepal,Russia,2015-08-01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2835,2836,0,0,0,0,0,0,0,0,0,0,3.526093088857546e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.526093088857546e-4,0
Nepal,Russia,2015-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3187,3188,0,0,0,0,0,0,0,0,0,0,0,0,0,3.136762860727729e-4,0,0,0,0,0,0,0,3.136762860727729e-4,0,0,0,0,0
Nepal,Russia,2015-10-01,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2874,2878,0,0,3.4746351633078526e-4,0,0,0,0,0,0,0,0,0,0,3.4746351633078526e-4,0,0,6.949270326615705e-4,0,0,0,0,3.4746351633078526e-4,0,0,0,3.4746351633078526e-4,6.949270326615705e-4
Nepal,Russia,2015-11-01,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2963,2965,0,0,0,0,0,0,3.372681281618887e-4,0,0,0,0,0,0,3.372681281618887e-4,0,0,0,0,0,0,0,3.372681281618887e-4,0,3.372681281618887e-4,0,0,0
Nepal,Russia,2015-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3135,3135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2016-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3079,3080,0,0,0,0,0,0,0,3.246753246753247e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.246753246753247e-4,0,0,0
Nepal,Russia,2016-02-01,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2792,2796,0,0,0,0,0,7.15307582260372e-4,0,0,0,0,0,0,0,3.57653791130186e-4,0,0,0,0,0,3.57653791130186e-4,0,3.57653791130186e-4,0,7.15307582260372e-4,3.57653791130186e-4,0,0
Nepal,Russia,2016-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3004,3004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2016-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2805,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nepal,Russia,2016-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2969,2970,0,0,0,0,0,0,0,0,0,0,0,3.367003367003367e-4,0,0,0,0,0,0,0,0,0,3.367003367003367e-4,0,0,0,0,0
Nepal,Russia,2016-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2773,2774,0,0,0,0,0,0,0,0,0,0,0,0,0,3.604902667627974e-4,0,0,0,0,0,0,0,3.604902667627974e-4,0,0,0,0,0
