country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Nigeria,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1807,2119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1921,2057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2229,2411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2083,2297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2120,2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2121,2385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2405,2687,0,0,0,0,0,0,0,0,0,0,0,3.721622627465575e-4,0,0,0,0,0,0,0,0,0,3.721622627465575e-4,0,0,0,0,0
Nigeria,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2506,2741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2176,2354,0,0,0,0,0,0,0,0,0,0,0,4.248088360237893e-4,0,0,0,0,4.248088360237893e-4,0,0,0,0,4.248088360237893e-4,0,0,0,0,4.248088360237893e-4
Nigeria,Russia,2012-10-01,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2371,2610,0,0,0,0,0,0,0,0,0,3.831417624521073e-4,0,7.662835249042146e-4,0,0,0,0,0,0,0,0,0,7.662835249042146e-4,0,0,3.831417624521073e-4,0,0
Nigeria,Russia,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2179,2398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2089,2267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2013-01-01,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2137,2318,4.314063848144953e-4,0,0,0,0,0,0,0,0,0,0,4.314063848144953e-4,0,4.314063848144953e-4,0,0,0,4.314063848144953e-4,0,0,0,0.0012942191544434859,0,0,4.314063848144953e-4,0,0
Nigeria,Russia,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2119,2413,0,0,0,0,0,0,0,0,0,0,0,8.288437629506838e-4,0,0,0,0,0,0,0,0,0,8.288437629506838e-4,0,0,0,0,0
Nigeria,Russia,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2392,2627,0,0,0,0,0,0,0,0,0,0,0,3.8066235249333843e-4,0,0,0,0,0,0,0,0,0,3.8066235249333843e-4,0,0,0,0,0
Nigeria,Russia,2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2279,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.060089321965083e-4,0,0,0,0,0,0,0,0,0,4.060089321965083e-4
Nigeria,Russia,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548,2833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,Russia,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2487,2657,0,0,0,0,0,0,0,0,0,0,0,7.527286413248024e-4,0,0,0,0,0,0,0,3.763643206624012e-4,0,7.527286413248024e-4,0,0,3.763643206624012e-4,0,0
Nigeria,Russia,2013-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2652,2863,0,0,0,0,0,0,0,0,0,3.4928396786587494e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4928396786587494e-4,0,0
Nigeria,Russia,2013-08-01,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2482,2657,0,0,0,0,0,0,0,3.763643206624012e-4,0,0,0,7.527286413248024e-4,0,0,0,0,0,0,0,0,0,7.527286413248024e-4,0,3.763643206624012e-4,0,0,0
Nigeria,Russia,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2301,2506,0,0,0,0,0,0,0,0,0,0,0,0,0,3.990422984836393e-4,0,0,0,0,0,0,0,3.990422984836393e-4,0,0,0,0,0
Nigeria,Russia,2013-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2299,2570,0,0,0,0,0,0,0,0,0,0,0,3.891050583657588e-4,0,0,0,0,3.891050583657588e-4,0,3.891050583657588e-4,0,0,3.891050583657588e-4,0,0,3.891050583657588e-4,0,3.891050583657588e-4
