country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Pakistan,China,2012-01-01,0,0,0,0,0,1,1,1,0,2,0,4,1,1,0,2,0,0,2,1,0,3216,3568,0,0,0,0,0,2.802690582959641e-4,2.802690582959641e-4,2.802690582959641e-4,0,5.605381165919282e-4,0,0.0011210762331838565,2.802690582959641e-4,2.802690582959641e-4,0,5.605381165919282e-4,0,0,5.605381165919282e-4,2.802690582959641e-4,0,0.001961883408071749,0,8.408071748878924e-4,0.0014013452914798206,0,2.802690582959641e-4
Pakistan,China,2012-02-01,0,0,0,0,2,1,1,1,0,1,1,3,0,0,1,0,3,0,0,0,0,4476,4808,0,0,0,0,4.1597337770382697e-4,2.0798668885191348e-4,2.0798668885191348e-4,2.0798668885191348e-4,0,2.0798668885191348e-4,2.0798668885191348e-4,6.239600665557404e-4,0,0,2.0798668885191348e-4,0,6.239600665557404e-4,0,0,0,0,6.239600665557404e-4,0,0.0010399334442595673,2.0798668885191348e-4,4.1597337770382697e-4,6.239600665557404e-4
Pakistan,China,2012-03-01,0,0,0,0,0,2,1,0,0,0,1,2,0,4,0,0,0,0,0,0,1,4643,4943,0,0,0,0,0,4.0461258345134534e-4,2.0230629172567267e-4,0,0,0,2.0230629172567267e-4,4.0461258345134534e-4,0,8.092251669026907e-4,0,0,0,0,0,0,2.0230629172567267e-4,0.001213837750354036,2.0230629172567267e-4,6.06918875177018e-4,0,2.0230629172567267e-4,0
Pakistan,China,2012-04-01,1,0,0,0,0,1,2,0,1,4,0,4,0,0,0,3,0,1,7,0,0,4670,5096,1.9623233908948196e-4,0,0,0,0,1.9623233908948196e-4,3.924646781789639e-4,0,1.9623233908948196e-4,7.849293563579278e-4,0,7.849293563579278e-4,0,0,0,5.886970172684458e-4,0,1.9623233908948196e-4,0.0013736263736263737,0,0,0.0015698587127158557,0,5.886970172684459e-4,0.0025510204081632655,0,0
Pakistan,China,2012-05-01,0,0,0,0,0,1,3,1,0,8,0,4,1,1,0,1,1,1,5,0,0,5285,5663,0,0,0,0,0,1.765848490199541e-4,5.297545470598623e-4,1.765848490199541e-4,0,0.0014126787921596327,0,7.063393960798164e-4,1.765848490199541e-4,1.765848490199541e-4,0,1.765848490199541e-4,1.765848490199541e-4,1.765848490199541e-4,8.829242450997704e-4,0,0,0.0010595090941197245,0,8.829242450997704e-4,0.002472187886279357,0,3.531696980399082e-4
Pakistan,China,2012-06-01,0,0,0,0,1,3,7,3,1,8,0,4,0,1,0,1,0,1,2,0,0,5149,5556,0,0,0,0,1.7998560115190784e-4,5.399568034557236e-4,0.0012598992080633548,5.399568034557236e-4,1.7998560115190784e-4,0.0014398848092152627,0,7.199424046076314e-4,0,1.7998560115190784e-4,0,1.7998560115190784e-4,0,1.7998560115190784e-4,3.599712023038157e-4,0,0,0.001079913606911447,0,0.0025197984161267097,0.002159827213822894,0,0
Pakistan,China,2012-07-01,0,1,0,0,1,1,0,1,0,3,0,1,0,1,0,1,0,0,4,1,0,5174,5417,0,1.8460402436773122e-4,0,0,1.8460402436773122e-4,1.8460402436773122e-4,0,1.8460402436773122e-4,0,5.538120731031936e-4,0,1.8460402436773122e-4,0,1.8460402436773122e-4,0,1.8460402436773122e-4,0,0,7.384160974709249e-4,1.8460402436773122e-4,0,5.538120731031936e-4,1.8460402436773122e-4,5.538120731031936e-4,0.0014768321949418497,0,0
Pakistan,China,2012-08-01,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,4700,5019,1.9924287706714485e-4,0,0,0,0,1.9924287706714485e-4,1.9924287706714485e-4,0,0,1.9924287706714485e-4,0,1.9924287706714485e-4,0,0,0,0,0,0,0,1.9924287706714485e-4,1.9924287706714485e-4,3.984857541342897e-4,1.9924287706714485e-4,3.984857541342897e-4,3.984857541342897e-4,0,0
Pakistan,China,2012-09-01,0,0,0,1,1,5,3,1,0,5,0,5,0,4,0,2,1,1,5,0,0,4867,5353,0,0,0,1.8681113394358303e-4,1.8681113394358303e-4,9.340556697179152e-4,5.604334018307491e-4,1.8681113394358303e-4,0,9.340556697179152e-4,0,9.340556697179152e-4,0,7.472445357743321e-4,0,3.7362226788716606e-4,1.8681113394358303e-4,1.8681113394358303e-4,9.340556697179152e-4,0,0,0.002054922473379413,0,0.002054922473379413,0.002054922473379413,0,1.8681113394358303e-4
Pakistan,China,2012-10-01,0,0,0,0,1,2,0,0,1,6,0,2,0,1,0,0,0,0,3,1,0,4781,5135,0,0,0,0,1.9474196689386563e-4,3.8948393378773126e-4,0,0,1.9474196689386563e-4,0.0011684518013631937,0,3.8948393378773126e-4,0,1.9474196689386563e-4,0,0,0,0,5.842259006815969e-4,1.9474196689386563e-4,0,5.842259006815969e-4,0,5.842259006815969e-4,0.0021421616358325217,0,0
Pakistan,China,2012-11-01,1,0,0,0,1,2,1,3,0,5,0,2,0,0,0,1,2,0,2,0,0,4706,5002,1.9992003198720512e-4,0,0,0,1.9992003198720512e-4,3.9984006397441024e-4,1.9992003198720512e-4,5.997600959616154e-4,0,9.996001599360256e-4,0,3.9984006397441024e-4,0,0,0,1.9992003198720512e-4,3.9984006397441024e-4,0,3.9984006397441024e-4,0,0,7.996801279488205e-4,0,0.0013994402239104358,0.0013994402239104358,0,3.9984006397441024e-4
Pakistan,China,2012-12-01,0,0,1,0,0,1,1,0,0,4,0,1,0,2,0,0,1,1,1,2,0,5031,5341,0,0,1.872308556450103e-4,0,0,1.872308556450103e-4,1.872308556450103e-4,0,0,7.489234225800412e-4,0,1.872308556450103e-4,0,3.744617112900206e-4,0,0,1.872308556450103e-4,1.872308556450103e-4,1.872308556450103e-4,3.744617112900206e-4,0,5.61692566935031e-4,0,3.744617112900206e-4,0.0014978468451600825,1.872308556450103e-4,1.872308556450103e-4
Pakistan,China,2013-01-01,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,1,1,0,4772,5214,1.9179133103183735e-4,0,0,0,1.9179133103183735e-4,0,0,0,0,5.753739930955121e-4,0,1.9179133103183735e-4,0,0,0,0,0,1.9179133103183735e-4,1.9179133103183735e-4,1.9179133103183735e-4,0,3.835826620636747e-4,0,1.9179133103183735e-4,0.0011507479861910242,0,0
Pakistan,China,2013-02-01,0,0,0,0,0,0,0,1,1,8,0,1,0,3,0,0,0,0,1,0,0,4672,4990,0,0,0,0,0,0,0,2.004008016032064e-4,2.004008016032064e-4,0.0016032064128256513,0,2.004008016032064e-4,0,6.012024048096192e-4,0,0,0,0,2.004008016032064e-4,0,0,0.00080160320641282565,0,2.004008016032064e-4,0.002004008016032064,0,0
Pakistan,China,2013-03-01,3,0,0,0,1,1,0,1,0,5,0,3,0,1,0,0,1,1,3,0,0,5325,5648,5.311614730878187e-4,0,0,0,1.7705382436260624e-4,1.7705382436260624e-4,0,1.7705382436260624e-4,0,8.852691218130312e-4,0,5.311614730878187e-4,0,1.7705382436260624e-4,0,0,1.7705382436260624e-4,1.7705382436260624e-4,5.311614730878187e-4,0,0,0.0012393767705382438,0,5.311614730878187e-4,0.0015934844192634562,0,1.7705382436260624e-4
Pakistan,China,2013-04-01,1,0,0,0,1,0,1,0,0,0,0,3,0,0,1,4,3,0,2,0,0,4753,5117,1.9542700801250732e-4,0,0,0,1.9542700801250732e-4,0,1.9542700801250732e-4,0,0,0,0,5.86281024037522e-4,0,0,1.9542700801250732e-4,7.817080320500293e-4,5.86281024037522e-4,0,3.9085401602501464e-4,0,0,0.0015634160641000586,0,3.9085401602501464e-4,3.9085401602501464e-4,1.9542700801250732e-4,5.86281024037522e-4
Pakistan,China,2013-05-01,0,0,0,1,1,17,2,5,1,2,0,5,0,4,0,3,1,4,4,0,0,4902,5564,0,0,0,1.7972681524083394e-4,1.7972681524083394e-4,0.003055355859094177,3.594536304816679e-4,8.986340762041696e-4,1.7972681524083394e-4,3.594536304816679e-4,0,8.986340762041696e-4,0,7.189072609633358e-4,0,5.391804457225018e-4,1.7972681524083394e-4,7.189072609633358e-4,7.189072609633358e-4,0,0,0.002156721782890007,0,0.004672897196261683,0.001976994967649173,0,1.7972681524083394e-4
Pakistan,China,2013-06-01,0,0,0,0,0,5,2,1,0,9,0,2,0,1,0,2,1,0,6,0,0,4555,4906,0,0,0,0,0,0.0010191602119853241,4.0766408479412964e-4,2.0383204239706482e-4,0,0.0018344883815735833,0,4.0766408479412964e-4,0,2.0383204239706482e-4,0,4.0766408479412964e-4,2.0383204239706482e-4,0,0.0012229922543823889,0,0,0.0010191602119853241,0,0.0016306563391765185,0.0030574806359559724,0,2.0383204239706482e-4
