country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Pakistan,Combined,2012-01-01,0,0,0,0,1,2,1,1,0,2,0,3,0,1,0,1,0,0,2,1,0,3553,3568,0,0,0,0,2.802690582959641e-4,5.605381165919282e-4,2.802690582959641e-4,2.802690582959641e-4,0,5.605381165919282e-4,0,8.408071748878924e-4,0,2.802690582959641e-4,0,2.802690582959641e-4,0,0,5.605381165919282e-4,2.802690582959641e-4,0,0.0014013452914798208,0,0.0014013452914798206,0.0014013452914798206,0,0
Pakistan,Combined,2012-02-01,1,0,0,0,2,1,1,1,0,3,1,3,0,1,1,0,3,0,1,0,0,4789,4808,2.0798668885191348e-4,0,0,0,4.1597337770382697e-4,2.0798668885191348e-4,2.0798668885191348e-4,2.0798668885191348e-4,0,6.239600665557404e-4,2.0798668885191348e-4,6.239600665557404e-4,0,2.0798668885191348e-4,2.0798668885191348e-4,0,6.239600665557404e-4,0,2.0798668885191348e-4,0,0,0.0010399334442595673,0,0.0010399334442595673,8.319467554076539e-4,4.1597337770382697e-4,6.239600665557404e-4
Pakistan,Combined,2012-03-01,0,0,0,1,0,2,2,0,0,6,1,0,0,5,0,0,0,0,1,1,1,4923,4943,0,0,0,2.0230629172567267e-4,0,4.0461258345134534e-4,4.0461258345134534e-4,0,0,0.001213837750354036,2.0230629172567267e-4,0,0,0.0010115314586283633,0,0,0,0,2.0230629172567267e-4,2.0230629172567267e-4,2.0230629172567267e-4,0.0010115314586283633,2.0230629172567267e-4,0.0010115314586283633,0.0016184503338053813,2.0230629172567267e-4,0
Pakistan,Combined,2012-04-01,1,0,0,0,0,1,2,0,1,8,0,1,0,0,0,2,0,1,8,0,0,5071,5096,1.9623233908948196e-4,0,0,0,0,1.9623233908948196e-4,3.924646781789639e-4,0,1.9623233908948196e-4,0.0015698587127158557,0,1.9623233908948196e-4,0,0,0,3.924646781789639e-4,0,1.9623233908948196e-4,0.0015698587127158557,0,0,7.849293563579278e-4,0,5.886970172684459e-4,0.003532182103610675,0,0
Pakistan,Combined,2012-05-01,1,0,0,0,0,2,4,0,0,11,0,4,1,1,0,0,1,1,3,0,0,5634,5663,1.765848490199541e-4,0,0,0,0,3.531696980399082e-4,7.063393960798164e-4,0,0,0.0019424333392194949,0,7.063393960798164e-4,1.765848490199541e-4,1.765848490199541e-4,0,0,1.765848490199541e-4,1.765848490199541e-4,5.297545470598623e-4,0,0,0.0010595090941197245,0,0.0010595090941197245,0.002648772735299311,0,3.531696980399082e-4
Pakistan,Combined,2012-06-01,1,0,0,0,0,2,4,3,3,13,0,4,0,2,0,1,0,1,3,3,0,5516,5556,1.7998560115190784e-4,0,0,0,0,3.599712023038157e-4,7.199424046076314e-4,5.399568034557236e-4,5.399568034557236e-4,0.002339812814974802,0,7.199424046076314e-4,0,3.599712023038157e-4,0,1.7998560115190784e-4,0,1.7998560115190784e-4,5.399568034557236e-4,5.399568034557236e-4,0,0.0014398848092152627,0,0.0016198704103671706,0.004139668826493881,0,0
Pakistan,Combined,2012-07-01,0,1,0,0,2,1,1,1,0,4,0,2,0,1,0,1,0,0,4,1,0,5398,5417,0,1.8460402436773122e-4,0,0,3.6920804873546244e-4,1.8460402436773122e-4,1.8460402436773122e-4,1.8460402436773122e-4,0,7.384160974709249e-4,0,3.6920804873546244e-4,0,1.8460402436773122e-4,0,1.8460402436773122e-4,0,0,7.384160974709249e-4,1.8460402436773122e-4,0,7.384160974709249e-4,1.8460402436773122e-4,9.230201218386561e-4,0.001661436219309581,0,0
Pakistan,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,5014,5019,0,0,0,0,0,0,0,0,0,1.9924287706714485e-4,0,3.984857541342897e-4,0,0,0,0,1.9924287706714485e-4,0,0,0,1.9924287706714485e-4,3.984857541342897e-4,1.9924287706714485e-4,0,1.9924287706714485e-4,0,1.9924287706714485e-4
Pakistan,Combined,2012-09-01,0,0,0,1,1,7,4,1,0,7,0,3,0,4,0,5,1,1,9,0,1,5308,5353,0,0,0,1.8681113394358303e-4,1.8681113394358303e-4,0.0013076779376050812,7.472445357743321e-4,1.8681113394358303e-4,0,0.0013076779376050812,0,5.604334018307491e-4,0,7.472445357743321e-4,0,9.340556697179152e-4,1.8681113394358303e-4,1.8681113394358303e-4,0.0016813002054922473,0,1.8681113394358303e-4,0.0022417336073229962,1.8681113394358303e-4,0.0026153558752101624,0.0031757892770409115,0,1.8681113394358303e-4
Pakistan,Combined,2012-10-01,1,0,0,0,2,8,0,2,2,7,0,3,0,5,0,1,0,0,3,1,0,5100,5135,1.9474196689386563e-4,0,0,0,3.8948393378773126e-4,0.001557935735150925,0,3.8948393378773126e-4,3.8948393378773126e-4,0.0013631937682570595,0,5.842259006815969e-4,0,9.737098344693282e-4,0,1.9474196689386563e-4,0,0,5.842259006815969e-4,1.9474196689386563e-4,0,0.0019474196689386564,0,0.0023369036027263874,0.002531645569620253,0,0
