country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Pakistan,Russia,2012-01-01,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3563,3568,0,0,0,0,2.802690582959641e-4,5.605381165919282e-4,0,0,0,0,0,2.802690582959641e-4,0,0,0,0,0,0,2.802690582959641e-4,0,0,2.802690582959641e-4,0,8.408071748878924e-4,2.802690582959641e-4,0,0
Pakistan,Russia,2012-02-01,1,0,0,0,1,1,1,0,0,4,0,3,0,2,1,0,0,0,1,0,0,4793,4808,2.0798668885191348e-4,0,0,0,2.0798668885191348e-4,2.0798668885191348e-4,2.0798668885191348e-4,0,0,8.319467554076539e-4,0,6.239600665557404e-4,0,4.1597337770382697e-4,2.0798668885191348e-4,0,0,0,2.0798668885191348e-4,0,0,0.0012479201331114808,0,6.239600665557404e-4,0.0010399334442595673,2.0798668885191348e-4,0
Pakistan,Russia,2012-03-01,1,0,0,0,0,1,1,0,0,7,2,0,0,0,0,1,0,0,1,1,0,4928,4943,2.0230629172567267e-4,0,0,0,0,2.0230629172567267e-4,2.0230629172567267e-4,0,0,0.0014161440420797087,4.0461258345134534e-4,0,0,0,0,2.0230629172567267e-4,0,0,2.0230629172567267e-4,2.0230629172567267e-4,0,4.0461258345134534e-4,0,4.0461258345134534e-4,0.001820756625531054,4.0461258345134534e-4,0
Pakistan,Russia,2012-04-01,2,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,5089,5096,3.924646781789639e-4,0,0,0,0,1.9623233908948196e-4,0,0,0,3.924646781789639e-4,0,1.9623233908948196e-4,0,0,0,0,0,0,1.9623233908948196e-4,0,0,5.886970172684459e-4,0,1.9623233908948196e-4,5.886970172684459e-4,0,0
Pakistan,Russia,2012-05-01,1,0,0,0,1,1,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,5654,5663,1.765848490199541e-4,0,0,0,1.765848490199541e-4,1.765848490199541e-4,0,0,0,3.531696980399082e-4,0,1.765848490199541e-4,0,1.765848490199541e-4,0,1.765848490199541e-4,0,0,1.765848490199541e-4,0,0,7.063393960798164e-4,0,3.531696980399082e-4,5.297545470598623e-4,0,0
Pakistan,Russia,2012-06-01,2,0,0,0,1,3,2,1,0,10,0,2,0,4,0,1,0,0,5,2,0,5523,5556,3.599712023038157e-4,0,0,0,1.7998560115190784e-4,5.399568034557236e-4,3.599712023038157e-4,1.7998560115190784e-4,0,0.0017998560115190785,0,3.599712023038157e-4,0,7.199424046076314e-4,0,1.7998560115190784e-4,0,0,8.999280057595393e-4,3.599712023038157e-4,0,0.0016198704103671706,0,0.0012598992080633548,0.0030597552195824333,0,0
Pakistan,Russia,2012-07-01,0,0,0,0,2,0,1,0,0,3,0,3,0,0,0,0,0,0,0,1,0,5407,5417,0,0,0,0,3.6920804873546244e-4,0,1.8460402436773122e-4,0,0,5.538120731031936e-4,0,5.538120731031936e-4,0,0,0,0,0,0,0,1.8460402436773122e-4,0,5.538120731031936e-4,0,5.538120731031936e-4,7.384160974709249e-4,0,0
Pakistan,Russia,2012-08-01,0,0,0,0,1,3,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,5009,5019,0,0,0,0,1.9924287706714485e-4,5.977286312014345e-4,1.9924287706714485e-4,0,0,0,0,3.984857541342897e-4,0,3.984857541342897e-4,0,0,1.9924287706714485e-4,0,0,0,0,7.969715082685794e-4,0,9.962143853357243e-4,0,0,1.9924287706714485e-4
Pakistan,Russia,2012-09-01,0,0,0,0,0,6,0,0,0,4,0,0,0,2,0,0,0,0,4,0,1,5336,5353,0,0,0,0,0,0.0011208668036614981,0,0,0,7.472445357743321e-4,0,0,0,3.7362226788716606e-4,0,0,0,0,7.472445357743321e-4,0,1.8681113394358303e-4,3.7362226788716606e-4,1.8681113394358303e-4,0.0011208668036614981,0.0014944890715486642,0,0
Pakistan,Russia,2012-10-01,1,0,0,0,2,9,0,2,1,1,0,3,0,5,1,1,0,0,0,0,0,5109,5135,1.9474196689386563e-4,0,0,0,3.8948393378773126e-4,0.0017526777020447906,0,3.8948393378773126e-4,1.9474196689386563e-4,1.9474196689386563e-4,0,5.842259006815969e-4,0,9.737098344693282e-4,1.9474196689386563e-4,1.9474196689386563e-4,0,0,0,0,0,0.0019474196689386564,0,0.002531645569620253,3.8948393378773126e-4,1.9474196689386563e-4,0
