country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Peru,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,91,0,0,0,0,0,0,0,0,0,0.01098901098901099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01098901098901099,0,0
Peru,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,117,119,0,0,0,0,0,0,0,0,0,0.01680672268907563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01680672268907563,0,0
Peru,Combined,2012-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,184,0,0,0,0,0,0.005434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005434782608695652,0,0,0
Peru,Combined,2012-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,191,192,0,0,0,0,0,0,0,0,0,0.005208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005208333333333333,0,0
Peru,Combined,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Combined,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,313,316,0,0,0,0,0,0,0,0,0,0,0,0.00949367088607595,0,0,0,0,0,0,0,0,0,0.00949367088607595,0,0,0,0,0
Peru,Combined,2012-08-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,308,0,0,0,0,0,0.006493506493506494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006493506493506494,0,0,0
Peru,Combined,2012-09-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,276,0,0,0,0,0,0.010869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565217391304,0,0,0
Peru,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Combined,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,211,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0047169811320754715,0,0,0,0,0,0.0047169811320754715,0,0
Peru,Combined,2012-12-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,227,229,0,0,0,0,0,0,0,0,0,0.008733624454148471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008733624454148471,0,0
Peru,Combined,2013-01-01,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2931,2935,0,0,0,0,0,0,0,0,0,3.4071550255536625e-4,3.4071550255536625e-4,0,3.4071550255536625e-4,0,0,0,0,0,3.4071550255536625e-4,0,0,0,0,0,6.814310051107325e-4,3.4071550255536625e-4,3.4071550255536625e-4
Peru,Combined,2013-02-01,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,2720,2728,7.331378299120235e-4,0,0,0,0,3.6656891495601173e-4,0,0,0,7.331378299120235e-4,0,0,0,0,0,0,3.6656891495601173e-4,0,0,7.331378299120235e-4,0,7.331378299120235e-4,0,3.6656891495601173e-4,0.001466275659824047,0,3.6656891495601173e-4
Peru,Combined,2013-03-01,1,0,1,0,1,2,1,0,0,3,0,0,0,0,0,0,0,0,5,1,0,2812,2827,3.5373187124159886e-4,0,3.5373187124159886e-4,0,3.5373187124159886e-4,7.074637424831977e-4,3.5373187124159886e-4,0,0,0.0010611956137247967,0,0,0,0,0,0,0,0,0.0017686593562079944,3.5373187124159886e-4,0,3.5373187124159886e-4,0,0.0014149274849663955,0.00318358684117439,3.5373187124159886e-4,0
Peru,Combined,2013-04-01,0,0,0,0,1,5,2,2,0,16,0,0,0,0,0,0,0,0,6,1,0,2858,2891,0,0,0,0,3.459010722933241e-4,0.0017295053614666206,6.918021445866483e-4,6.918021445866483e-4,0,0.005534417156693186,0,0,0,0,0,0,0,0,0.0020754064337599448,3.459010722933241e-4,0,0,0,0.0034590107229332413,0.007955724662746456,0,0
Peru,Combined,2013-05-01,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3075,3079,0,0,0,0,3.247807729782397e-4,3.247807729782397e-4,0,0,0,0,0,3.247807729782397e-4,0,0,0,0,0,0,3.247807729782397e-4,0,0,3.247807729782397e-4,0,6.495615459564793e-4,3.247807729782397e-4,0,0
Peru,Combined,2013-06-01,0,0,0,2,1,0,0,1,0,11,3,1,0,0,0,0,1,0,2,1,0,2787,2810,0,0,0,7.117437722419929e-4,3.5587188612099647e-4,0,0,3.5587188612099647e-4,0,0.003914590747330961,0.0010676156583629894,3.5587188612099647e-4,0,0,0,0,3.5587188612099647e-4,0,7.117437722419929e-4,3.5587188612099647e-4,0,3.5587188612099647e-4,0,0.0014234875444839859,0.00498220640569395,0.0010676156583629894,3.5587188612099647e-4
Peru,Combined,2013-07-01,0,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,1,0,1,0,0,3137,3145,0,0,0,0,0,0,3.179650238473768e-4,0,0,6.359300476947536e-4,6.359300476947536e-4,3.179650238473768e-4,0,0,0,0,3.179650238473768e-4,0,3.179650238473768e-4,0,0,3.179650238473768e-4,0,3.179650238473768e-4,9.538950715421304e-4,6.359300476947536e-4,3.179650238473768e-4
Peru,Combined,2013-08-01,0,0,0,0,0,2,0,1,0,8,2,1,0,1,1,0,0,0,1,0,0,3048,3065,0,0,0,0,0,6.525285481239804e-4,0,3.262642740619902e-4,0,0.0026101141924959217,6.525285481239804e-4,3.262642740619902e-4,0,3.262642740619902e-4,3.262642740619902e-4,0,0,0,3.262642740619902e-4,0,0,6.525285481239804e-4,0,9.787928221859706e-4,0.002936378466557912,9.787928221859706e-4,0
Peru,Combined,2013-09-01,1,0,0,0,2,1,5,0,0,3,0,1,0,3,0,0,0,0,2,1,0,2880,2899,3.4494653328734045e-4,0,0,0,6.898930665746809e-4,3.4494653328734045e-4,0.0017247326664367024,0,0,0.0010348395998620215,0,3.4494653328734045e-4,0,0.0010348395998620215,0,0,0,0,6.898930665746809e-4,3.4494653328734045e-4,0,0.0017247326664367024,0,0.0027595722662987236,0.002069679199724043,0,0
Peru,Combined,2013-10-01,3,0,0,0,0,0,1,0,0,9,1,1,0,1,0,2,1,1,5,3,1,2912,2941,0.0010200612036722204,0,0,0,0,0,3.4002040122407346e-4,0,0,0.003060183611016661,3.4002040122407346e-4,3.4002040122407346e-4,0,3.4002040122407346e-4,0,6.800408024481469e-4,3.4002040122407346e-4,3.4002040122407346e-4,0.0017001020061203672,0.0010200612036722204,3.4002040122407346e-4,0.0023801428085685142,3.4002040122407346e-4,3.4002040122407346e-4,0.006120367222033322,3.4002040122407346e-4,3.4002040122407346e-4
Peru,Combined,2013-11-01,0,0,0,0,0,1,0,0,0,14,0,1,0,0,1,0,0,0,1,1,0,2894,2913,0,0,0,0,0,3.4328870580157915e-4,0,0,0,0.004806041881222108,0,3.4328870580157915e-4,0,0,3.4328870580157915e-4,0,0,0,3.4328870580157915e-4,3.4328870580157915e-4,0,3.4328870580157915e-4,0,3.4328870580157915e-4,0.0054926192928252664,3.4328870580157915e-4,0
Peru,Combined,2013-12-01,4,0,0,0,0,0,1,0,0,6,0,1,0,2,0,1,0,0,1,2,2,3019,3039,0.0013162224415926291,0,0,0,0,0,3.290556103981573e-4,0,0,0.0019743336623889436,0,3.290556103981573e-4,0,6.581112207963146e-4,0,3.290556103981573e-4,0,0,3.290556103981573e-4,6.581112207963146e-4,6.581112207963146e-4,0.0026324448831852583,6.581112207963146e-4,3.290556103981573e-4,0.0029615004935834156,0,0
Peru,Combined,2014-01-01,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3857,3862,0,2.589331952356292e-4,0,0,0,0,0,0,0,7.767995857068876e-4,0,0,0,2.589331952356292e-4,0,0,0,0,0,0,0,2.589331952356292e-4,2.589331952356292e-4,0,7.767995857068876e-4,0,0
Peru,Combined,2014-02-01,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,2,4,0,3500,3512,0,0,0,0,0,0,0,0,0,0.0014236902050113896,0,2.847380410022779e-4,0,0,0,0,0,0,5.694760820045558e-4,0.0011389521640091116,0,2.847380410022779e-4,0,0,0.003132118451025057,0,0
Peru,Combined,2014-03-01,1,0,0,1,0,2,6,2,0,5,0,2,0,0,1,0,0,0,1,5,0,3806,3832,2.6096033402922753e-4,0,0,2.6096033402922753e-4,0,5.219206680584551e-4,0.0015657620041753654,5.219206680584551e-4,0,0.0013048016701461378,0,5.219206680584551e-4,0,0,2.6096033402922753e-4,0,0,0,2.6096033402922753e-4,0.0013048016701461378,0,7.828810020876826e-4,0,0.002870563674321503,0.002870563674321503,2.6096033402922753e-4,0
Peru,Combined,2014-04-01,0,0,0,0,0,5,0,0,0,13,0,1,0,2,0,0,1,0,1,1,0,3606,3630,0,0,0,0,0,0.0013774104683195593,0,0,0,0.003581267217630854,0,2.754820936639118e-4,0,5.509641873278236e-4,0,0,2.754820936639118e-4,0,2.754820936639118e-4,2.754820936639118e-4,0,8.264462809917355e-4,0,0.0013774104683195593,0.004132231404958678,0,2.754820936639118e-4
Peru,Combined,2014-05-01,2,0,0,0,1,0,0,0,0,11,1,1,0,2,0,0,1,0,3,4,0,3647,3673,5.445140212360468e-4,0,0,0,2.722570106180234e-4,0,0,0,0,0.0029948271167982575,2.722570106180234e-4,2.722570106180234e-4,0,5.445140212360468e-4,0,0,2.722570106180234e-4,0,8.167710318540703e-4,0.0010890280424720937,0,0.0013612850530901172,0,2.722570106180234e-4,0.004900626191124422,2.722570106180234e-4,2.722570106180234e-4
Peru,Combined,2014-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,3516,3522,0,0,0,0,0,0,0,0,0,0,0,2.8392958546280523e-4,0,2.8392958546280523e-4,0,0,2.8392958546280523e-4,0,0,8.517887563884157e-4,0,5.678591709256105e-4,0,0,8.517887563884157e-4,0,2.8392958546280523e-4
