country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Peru,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Russia,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Russia,2012-04-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,184,0,0,0,0,0,0.005434782608695652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005434782608695652,0,0,0
Peru,Russia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Russia,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,315,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031645569620253164,0,0,0,0,0,0,0,0.0031645569620253164,0,0,0,0,0
Peru,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Russia,2012-09-01,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,276,0,0,0,0,0,0.010869565217391304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010869565217391304,0,0,0
Peru,Russia,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,337,338,0,0,0,0,0,0,0,0,0,0,0,0.0029585798816568047,0,0,0,0,0,0,0,0,0,0.0029585798816568047,0,0,0,0,0
Peru,Russia,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Russia,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,Russia,2013-01-01,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2932,2935,0,0,0,0,0,0,0,0,0,3.4071550255536625e-4,3.4071550255536625e-4,0,3.4071550255536625e-4,0,0,0,0,0,0,0,0,0,0,0,3.4071550255536625e-4,3.4071550255536625e-4,3.4071550255536625e-4
Peru,Russia,2013-02-01,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2724,2728,7.331378299120235e-4,0,0,0,0,0,0,0,0,7.331378299120235e-4,0,0,0,0,0,0,0,0,0,0,0,7.331378299120235e-4,0,0,7.331378299120235e-4,0,0
Peru,Russia,2013-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2823,2827,0,0,0,0,3.5373187124159886e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0010611956137247967,0,0,0,0,3.5373187124159886e-4,0.0010611956137247967,0,0
Peru,Russia,2013-04-01,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2887,2891,0,0,0,0,0,0,3.459010722933241e-4,0,0,3.459010722933241e-4,0,3.459010722933241e-4,0,0,0,0,0,0,3.459010722933241e-4,0,0,3.459010722933241e-4,0,3.459010722933241e-4,6.918021445866483e-4,0,0
Peru,Russia,2013-05-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3077,3079,0,0,0,0,3.247807729782397e-4,0,0,0,0,0,0,3.247807729782397e-4,0,0,0,0,0,0,0,0,0,3.247807729782397e-4,0,3.247807729782397e-4,0,0,0
Peru,Russia,2013-06-01,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2807,2810,0,0,0,3.5587188612099647e-4,0,0,0,0,0,0,7.117437722419929e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.5587188612099647e-4,0,7.117437722419929e-4,0
Peru,Russia,2013-07-01,0,0,0,0,0,1,2,0,1,0,4,0,0,0,0,0,0,0,0,1,0,3136,3145,0,0,0,0,0,3.179650238473768e-4,6.359300476947536e-4,0,3.179650238473768e-4,0,0.0012718600953895071,0,0,0,0,0,0,0,0,3.179650238473768e-4,0,0,0,9.538950715421304e-4,6.359300476947536e-4,0.0012718600953895071,0
Peru,Russia,2013-08-01,0,0,0,0,0,2,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,3058,3065,0,0,0,0,0,6.525285481239804e-4,0,3.262642740619902e-4,0,0,9.787928221859706e-4,0,0,3.262642740619902e-4,0,0,0,0,0,0,0,3.262642740619902e-4,0,9.787928221859706e-4,0,9.787928221859706e-4,0
Peru,Russia,2013-09-01,1,0,0,0,2,1,5,0,0,0,0,1,0,2,0,0,0,0,2,0,0,2885,2899,3.4494653328734045e-4,0,0,0,6.898930665746809e-4,3.4494653328734045e-4,0.0017247326664367024,0,0,0,0,3.4494653328734045e-4,0,6.898930665746809e-4,0,0,0,0,6.898930665746809e-4,0,0,0.0013797861331493618,0,0.0027595722662987236,6.898930665746809e-4,0,0
Peru,Russia,2013-10-01,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,2,0,1,2930,2941,0.0010200612036722204,0,0,0,0,0,3.4002040122407346e-4,0,0,0,3.4002040122407346e-4,0,0,0,0,6.800408024481469e-4,0,3.4002040122407346e-4,6.800408024481469e-4,0,3.4002040122407346e-4,0.0017001020061203674,3.4002040122407346e-4,3.4002040122407346e-4,0.0010200612036722204,3.4002040122407346e-4,0
Peru,Russia,2013-11-01,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2911,2913,0,0,0,0,0,3.4328870580157915e-4,0,0,0,0,3.4328870580157915e-4,0,0,0,0,0,0,0,0,0,0,0,0,3.4328870580157915e-4,0,3.4328870580157915e-4,0
Peru,Russia,2013-12-01,4,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,3030,3039,0.0013162224415926291,0,0,0,0,0,3.290556103981573e-4,0,0,3.290556103981573e-4,0,0,0,3.290556103981573e-4,0,0,0,0,0,0,6.581112207963146e-4,0.0016452780519907865,6.581112207963146e-4,3.290556103981573e-4,3.290556103981573e-4,0,0
Peru,Russia,2014-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3861,3862,0,0,0,0,0,0,0,0,0,0,0,0,0,2.589331952356292e-4,0,0,0,0,0,0,0,2.589331952356292e-4,0,0,0,0,0
Peru,Russia,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3510,3512,0,0,0,0,0,0,0,0,0,0,0,0,0,2.847380410022779e-4,0,0,0,0,2.847380410022779e-4,0,0,2.847380410022779e-4,0,0,2.847380410022779e-4,0,0
Peru,Russia,2014-03-01,0,0,0,1,0,1,6,2,0,0,0,4,0,0,1,0,0,0,1,5,0,3811,3832,0,0,0,2.6096033402922753e-4,0,2.6096033402922753e-4,0.0015657620041753654,5.219206680584551e-4,0,0,0,0.0010438413361169101,0,0,2.6096033402922753e-4,0,0,0,2.6096033402922753e-4,0.0013048016701461378,0,0.0010438413361169101,0,0.0026096033402922755,0.0015657620041753654,2.6096033402922753e-4,0
Peru,Russia,2014-04-01,0,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3623,3630,0,0,0,0,0,0.0011019283746556473,0,0,0,0,0,2.754820936639118e-4,0,2.754820936639118e-4,0,0,0,0,0,2.754820936639118e-4,0,5.509641873278236e-4,0,0.0011019283746556473,2.754820936639118e-4,0,0
