country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Philippines,China,2012-01-01,0,0,0,1,3,1,2,0,1,2,0,5,0,6,0,0,0,0,1,1,0,2994,3096,0,0,0,3.2299741602067185e-4,9.689922480620155e-4,3.2299741602067185e-4,6.459948320413437e-4,0,3.2299741602067185e-4,6.459948320413437e-4,0,0.001614987080103359,0,0.001937984496124031,0,0,0,0,3.2299741602067185e-4,3.2299741602067185e-4,0,0.00355297157622739,0,0.002260981912144703,0.0016149870801033593,0,0
Philippines,China,2012-02-01,0,0,0,1,0,0,1,1,0,6,0,0,0,0,1,0,0,0,1,1,2,2958,3079,0,0,0,3.247807729782397e-4,0,0,3.247807729782397e-4,3.247807729782397e-4,0,0.001948684637869438,0,0,0,0,3.247807729782397e-4,0,0,0,3.247807729782397e-4,3.247807729782397e-4,6.495615459564793e-4,0,6.495615459564793e-4,9.74342318934719e-4,0.0025982461838259174,3.247807729782397e-4,0
Philippines,China,2012-03-01,1,0,0,0,0,2,4,1,0,5,0,3,0,5,0,0,1,0,0,2,0,3113,3300,3.0303030303030303e-4,0,0,0,0,6.060606060606061e-4,0.0012121212121212121,3.0303030303030303e-4,0,0.0015151515151515152,0,9.090909090909091e-4,0,0.0015151515151515152,0,0,3.0303030303030303e-4,0,0,6.060606060606061e-4,0,0.0027272727272727275,0,0.002121212121212121,0.002121212121212121,0,3.0303030303030303e-4
Philippines,China,2012-04-01,3,0,2,2,9,2,11,1,0,3,0,29,1,23,0,2,0,1,1,3,0,2728,3041,9.865175928970734e-4,0,6.576783952647156e-4,6.576783952647156e-4,0.00295955277869122,6.576783952647156e-4,0.0036172311739559354,3.288391976323578e-4,0,9.865175928970734e-4,0,0.009536336731338375,3.288391976323578e-4,0.007563301545544229,0,6.576783952647156e-4,0,3.288391976323578e-4,3.288391976323578e-4,9.865175928970734e-4,0,0.018743834265044394,0,0.008220979940808944,0.0026307135810588623,6.576783952647156e-4,3.288391976323578e-4
Philippines,China,2012-05-01,0,0,1,1,2,3,14,2,0,7,0,13,2,12,1,2,2,0,5,5,1,3165,3520,0,0,2.840909090909091e-4,2.840909090909091e-4,5.681818181818182e-4,8.522727272727272e-4,0.003977272727272727,5.681818181818182e-4,0,0.0019886363636363634,0,0.003693181818181818,5.681818181818182e-4,0.003409090909090909,2.840909090909091e-4,5.681818181818182e-4,5.681818181818182e-4,0,0.0014204545454545455,0.0014204545454545455,2.840909090909091e-4,0.007670454545454545,2.840909090909091e-4,0.0062499999999999995,0.004829545454545454,5.681818181818182e-4,0.0011363636363636363
Philippines,China,2012-06-01,2,0,0,0,0,1,3,0,0,7,0,10,0,6,1,0,2,0,1,1,2,2791,3012,6.640106241699867e-4,0,0,0,0,3.3200531208499334e-4,9.9601593625498e-4,0,0,0.0023240371845949536,0,0.0033200531208499337,0,0.00199203187250996,3.3200531208499334e-4,0,6.640106241699867e-4,0,3.3200531208499334e-4,3.3200531208499334e-4,6.640106241699867e-4,0.00597609561752988,6.640106241699867e-4,0.0013280212483399733,0.00298804780876494,3.3200531208499334e-4,6.640106241699867e-4
Philippines,China,2012-07-01,0,0,0,1,6,1,6,1,1,5,2,9,0,26,0,1,1,0,1,4,1,3005,3347,0,0,0,2.9877502240812666e-4,0.00179265013444876,2.9877502240812666e-4,0.00179265013444876,2.9877502240812666e-4,2.9877502240812666e-4,0.0014938751120406335,5.975500448162533e-4,0.00268897520167314,0,0.007768150582611294,0,2.9877502240812666e-4,2.9877502240812666e-4,0,2.9877502240812666e-4,0.0011951000896325067,2.9877502240812666e-4,0.01075590080669256,2.9877502240812666e-4,0.0044816253361219,0.0032865252464893933,5.975500448162533e-4,2.9877502240812666e-4
Philippines,China,2012-08-01,0,0,0,3,2,4,3,1,0,1,0,3,0,1,0,0,1,0,1,0,1,3286,3579,0,0,0,8.382229673093043e-4,5.588153115395362e-4,0.0011176306230790724,8.382229673093043e-4,2.794076557697681e-4,0,2.794076557697681e-4,0,8.382229673093043e-4,0,2.794076557697681e-4,0,0,2.794076557697681e-4,0,2.794076557697681e-4,0,2.794076557697681e-4,0.0011176306230790724,2.794076557697681e-4,0.0036322995250069852,5.588153115395362e-4,0,2.794076557697681e-4
Philippines,China,2012-09-01,0,1,0,3,2,9,11,1,0,4,1,6,0,4,0,1,1,0,1,1,2,2992,3258,0,3.069367710251688e-4,0,9.208103130755065e-4,6.138735420503376e-4,0.0027624309392265192,0.003376304481276857,3.069367710251688e-4,0,0.0012277470841006752,3.069367710251688e-4,0.001841620626151013,0,0.0012277470841006752,0,3.069367710251688e-4,3.069367710251688e-4,0,3.069367710251688e-4,3.069367710251688e-4,6.138735420503376e-4,0.003376304481276857,9.208103130755064e-4,0.00798035604665439,0.0018416206261510127,3.069367710251688e-4,3.069367710251688e-4
Philippines,China,2012-10-01,0,0,0,0,0,3,0,3,1,1,0,4,0,2,0,0,0,0,0,1,4,3261,3562,0,0,0,0,0,8.422234699606962e-4,0,8.422234699606962e-4,2.8074115665356543e-4,2.8074115665356543e-4,0,0.0011229646266142617,0,5.614823133071309e-4,0,0,0,0,0,2.8074115665356543e-4,0.0011229646266142617,0.0016844469399213925,0.0011229646266142617,0.0016844469399213925,8.422234699606962e-4,0,0
