country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Rwanda,China,2012-01-01,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1071,1114,0,0,0,0,0,0.0017953321364452424,0,0,8.976660682226212e-4,0,0,8.976660682226212e-4,0,0,0,0,8.976660682226212e-4,0,8.976660682226212e-4,0,0,8.976660682226212e-4,0,0.0017953321364452424,0.0017953321364452424,0,8.976660682226212e-4
Rwanda,China,2012-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1151,1162,0,0,0,0,0,0,0,0,0,8.605851979345956e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.605851979345956e-4,0,0
Rwanda,China,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1238,1261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,China,2012-04-01,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1194,1224,0,0,0,0.0016339869281045752,0,0,0,8.169934640522876e-4,0,8.169934640522876e-4,0,0,0,0,0,0,0,0,0,0,8.169934640522876e-4,0,8.169934640522876e-4,0.0024509803921568627,8.169934640522876e-4,0,0
Rwanda,China,2012-05-01,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1255,1296,0,0,0,0,0,7.716049382716049e-4,0,7.716049382716049e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015432098765432098,0,0,0
Rwanda,China,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1223,1281,0,0,0,0,0,0,0,0,0,0,0,7.8064012490242e-4,0,0,0,0,7.8064012490242e-4,0,0,0,0,7.8064012490242e-4,0,0,0,0,7.8064012490242e-4
Rwanda,China,2012-07-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1336,1429,0,0,0,0,0,0,0,0,0,6.997900629811056e-4,0,0,0,0,0,6.997900629811056e-4,6.997900629811056e-4,0,0,0,0,6.997900629811056e-4,0,0,6.997900629811056e-4,0,6.997900629811056e-4
Rwanda,China,2012-08-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1352,1401,0,0,0,0,0,0,0,0,0,7.137758743754461e-4,0,0,0,0,0,0,7.137758743754461e-4,0,0,0,0,0,0,0,7.137758743754461e-4,0,7.137758743754461e-4
Rwanda,China,2012-09-01,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1357,1404,0,0,0,0,0,7.122507122507123e-4,0,0,7.122507122507123e-4,7.122507122507123e-4,0,0,0,0,0,0,7.122507122507123e-4,0,7.122507122507123e-4,0,0,0,0,7.122507122507123e-4,0.002136752136752137,0,7.122507122507123e-4
Rwanda,China,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1430,1496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.684491978609625e-4,0,0,0,0,0,0,0,0,0,6.684491978609625e-4
Rwanda,China,2012-11-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1289,1480,0,0,0,0,0,0,0,0,0,0,0,6.756756756756757e-4,0,0,0,0,0,0,0,0,0,6.756756756756757e-4,0,0,0,0,0
Rwanda,China,2012-12-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1236,1282,0,0,0,0,0,0,0,0,7.8003120124805e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8003120124805e-4,0,0
Rwanda,China,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1224,1262,0,0,0,0,0,0,0,0,0,7.92393026941363e-4,0,7.92393026941363e-4,0,0,0,0,7.92393026941363e-4,0,0,0,0,7.92393026941363e-4,0,0,7.92393026941363e-4,0,7.92393026941363e-4
Rwanda,China,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1166,1202,0,0,0,0,0,0,0,0,0,0,0,0,0,8.319467554076539e-4,0,0,0,8.319467554076539e-4,0,0,0,8.319467554076539e-4,0,0,8.319467554076539e-4,0,0
Rwanda,China,2013-03-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1328,1407,0,0,0,0,0,0,0,0,0,0,0,7.107320540156361e-4,0,0,0,0,0,0,0,0,0,7.107320540156361e-4,0,0,0,0,0
Rwanda,China,2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1198,1235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,China,2013-05-01,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1268,1311,0,0,0,0,0,0,0,7.627765064836003e-4,0,7.627765064836003e-4,0,7.627765064836003e-4,0,0,0,0,0,0,0,0,0,7.627765064836003e-4,0,7.627765064836003e-4,7.627765064836003e-4,0,0
Rwanda,China,2013-06-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1189,1229,0,0,0,0,0,8.136696501220504e-4,0,8.136696501220504e-4,0,8.136696501220504e-4,0,0,0,0,0,0,0.0024410089503661514,0,0,0,0,0,0,0.0016273393002441008,8.136696501220504e-4,0,0.0024410089503661514
Rwanda,China,2013-07-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1277,1335,0,0,0,0,0,0,7.49063670411985e-4,0,0,7.49063670411985e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49063670411985e-4,7.49063670411985e-4,0,0
Rwanda,China,2013-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1213,1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.776049766718507e-4,0,0,0,0,0,7.776049766718507e-4,0,0
Rwanda,China,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1115,1166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017152658662092624,0,0,0,0,0,0,0,0,0,0.0017152658662092624
Rwanda,China,2013-10-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1234,1290,0,0,0,0,0,0,0,0,0,7.751937984496124e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.751937984496124e-4,0,0
Rwanda,China,2013-11-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1131,1189,0,0,0,0,0,0,0,0,0,0.001682085786375105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001682085786375105,0,0
Rwanda,China,2013-12-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1057,1105,0,0,0,0,0,0,0,0,0,0.0018099547511312218,0,0,0,0,0,0,0.0018099547511312218,0,0,0,0,0,0,0,0.0018099547511312218,0,0.0018099547511312218
Rwanda,China,2014-01-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1194,1258,0,0,0,0,0,0,0,7.94912559618442e-4,0,0,0,0,0,0,0,0,0,7.94912559618442e-4,0,0,0,0,0,7.94912559618442e-4,7.94912559618442e-4,0,0
Rwanda,China,2014-02-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1122,1187,0,0,0,0,0,0,0,8.424599831508003e-4,0,0,0,0,0,0,0,0,0,0,0.0016849199663016006,0,0,0,0,8.424599831508003e-4,0.0016849199663016006,0,0
Rwanda,China,2014-03-01,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1215,1286,0,0,0,0,0,0,0,0,7.776049766718507e-4,0,0,7.776049766718507e-4,0,7.776049766718507e-4,0,0,0,0,7.776049766718507e-4,7.776049766718507e-4,0,0.0015552099533437014,0,0,0.0023328149300155523,0,0
Rwanda,China,2014-04-01,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1144,1324,0,0,0,0,0,0,0,0,7.552870090634441e-4,0,0,0.0015105740181268882,0,0,0,0,0,0,0,0,0,0.0015105740181268882,0,0,7.552870090634441e-4,0,0
Rwanda,China,2014-05-01,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1115,1163,0,0,0,0,0,0,0,0,0,0.0034393809114359416,0,0,0,0,0,0,0,0,0,8.598452278589854e-4,0,0,0,0,0.004299226139294927,0,0
Rwanda,China,2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1110,1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017452006980802793,0,0,0,0,0,0,0,0,0,0.0017452006980802793
Rwanda,China,2014-07-01,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,1,0,1137,1175,0,0,0,0,0,8.51063829787234e-4,0,0,0,0.002553191489361702,0,0,0,0,0,0,0.001702127659574468,0,0,8.51063829787234e-4,0,0,0,8.51063829787234e-4,0.003404255319148936,0,0.001702127659574468
Rwanda,China,2014-08-01,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1159,1192,0,0,0,0,0,8.389261744966443e-4,8.389261744966443e-4,0,0,8.389261744966443e-4,0,0,0,0,0,0,8.389261744966443e-4,0,0.0016778523489932886,0,0,0,0,0.0016778523489932886,0.0025167785234899327,0,8.389261744966443e-4
Rwanda,China,2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1079,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,China,2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1180,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,China,2014-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1147,1179,8.481764206955047e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016963528413910093,0,0,0,8.481764206955047e-4,0,0,0.0016963528413910093,0,0
Rwanda,China,2014-12-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1119,1156,0,0,0,0,0,0,0,8.650519031141869e-4,0,0,0,0,0,0,0,0,0,8.650519031141869e-4,0,0,0,0,0,8.650519031141869e-4,8.650519031141869e-4,0,0
Rwanda,China,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1046,1072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,China,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1027,1070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,China,2015-03-01,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1128,1158,0,0,0,0,0,0,8.635578583765112e-4,0,0,8.635578583765112e-4,0,8.635578583765112e-4,0,0,0,0,0,0,0,0,0,8.635578583765112e-4,0,8.635578583765112e-4,8.635578583765112e-4,0,0
Rwanda,China,2015-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1151,1212,0,0,0,0,0,0,0,0,0,8.250825082508251e-4,0,0,0,0,0,0,0,0,8.250825082508251e-4,0,0,0,0,0,0.0016501650165016502,0,0
