country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Serbia,Combined,2012-01-01,2012,1,1529,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.9967405475880052,0.0,0.0,0.0,0.0,0.0,0.0006518904823989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013037809647979,0.0,0.0
Serbia,Combined,2012-02-01,2012,2,1657,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.9969915764139592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006016847172081,0.0,0.0,0.0006016847172081,0.0006016847172081,0.0,0.0,0.0,0.0,0.0
Serbia,Combined,2012-03-01,2012,3,2084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.9985625299472928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004791566842357,0.0,0.0,0.0,0.0004791566842357
Serbia,Combined,2012-04-01,2012,4,1913,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9979134063641106,0.0,0.0,0.0,0.0,0.0,0.0010432968179447,0.0005216484089723,0.0,0.0,0.0,0.0,0.0005216484089723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia,Combined,2012-05-01,2012,5,2166,0,0,0,0,0,3,0,1,0,1,0,3,0,2,1,0,0,0,1,1,0,0.992667277726856,0.0,0.0,0.0,0.0,0.0,0.0013748854262144,0.0,0.0004582951420714,0.0,0.0004582951420714,0.0,0.0013748854262144,0.0,0.0009165902841429,0.0004582951420714,0.0,0.0,0.0,0.0004582951420714,0.0004582951420714,0.0
Serbia,Combined,2012-06-01,2012,6,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0.9972144846796658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011142061281337,0.0,0.0,0.0005571030640668,0.0,0.0,0.0,0.0011142061281337
Serbia,Combined,2012-07-01,2012,7,1699,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,3,0,0,0.9953134153485648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011716461628588,0.0005858230814294,0.0,0.0005858230814294,0.0,0.0,0.0,0.0,0.0,0.0,0.0017574692442882,0.0,0.0
Serbia,Combined,2012-08-01,2012,8,1632,0,0,0,0,0,0,0,0,0,3,0,6,0,2,0,0,0,0,1,0,0,0.99209726443769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018237082066869,0.0,0.0036474164133738,0.0,0.0012158054711246,0.0,0.0,0.0,0.0,0.0006079027355623,0.0,0.0
Serbia,Combined,2012-09-01,2012,9,1400,0,0,0,0,1,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0.9929078014184396,0.0,0.0,0.0,0.0,0.000709219858156,0.0,0.0,0.001418439716312,0.0,0.002127659574468,0.0,0.0,0.0,0.000709219858156,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia,Combined,2012-10-01,2012,10,1697,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.9912383177570092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005841121495327,0.0,0.0,0.0,0.0,0.0,0.0005841121495327,0.0,0.0,0.0,0.0
Serbia,Combined,2012-11-01,2012,11,1601,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,0,0,0.9858374384236454,0.001231527093596,0.0,0.0,0.0,0.0,0.0,0.0,0.000615763546798,0.0,0.001231527093596,0.0,0.0,0.0,0.0,0.0,0.000615763546798,0.000615763546798,0.0,0.0,0.0,0.0
Serbia,Combined,2012-12-01,2012,12,1386,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.9878831076265148,0.0,0.0,0.0,0.0007127583749109,0.0,0.0014255167498218,0.0014255167498218,0.0,0.0,0.0,0.0,0.0007127583749109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Serbia,Combined,2013-01-01,2013,1,1445,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0.996551724137931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013793103448275,0.0020689655172413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
