country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
South Africa,Combined,2012-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610,1611,0,0,0,0,0,6.207324643078833e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.207324643078833e-4,0,0,0
South Africa,Combined,2012-02-01,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,1,0,1627,1632,0,0,0,0,0,0,0,0,0,0.001838235294117647,0,6.127450980392157e-4,0,0,0,0,0,0,0,6.127450980392157e-4,0,6.127450980392157e-4,0,0,0.0024509803921568627,0,0
South Africa,Combined,2012-03-01,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,1,1,0,1808,1815,0,5.509641873278236e-4,0,0,0,0,0,0,5.509641873278236e-4,0.0011019283746556473,0,0,0,5.509641873278236e-4,0,0,0,0,5.509641873278236e-4,5.509641873278236e-4,0,5.509641873278236e-4,5.509641873278236e-4,0,0.002754820936639118,0,0
South Africa,Combined,2012-04-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1318,1320,0,0,0,0,0,0,0,0,7.575757575757576e-4,0,0,0,0,7.575757575757576e-4,0,0,0,0,0,0,0,7.575757575757576e-4,0,0,7.575757575757576e-4,0,0
South Africa,Combined,2012-05-01,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1193,1197,0,0,0,0,0,0,8.35421888053467e-4,0,0,8.35421888053467e-4,0,0.001670843776106934,0,0,0,0,0,0,0,0,0,0.001670843776106934,0,8.35421888053467e-4,8.35421888053467e-4,0,0
South Africa,Combined,2012-06-01,1,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,1128,1136,8.802816901408451e-4,0.0017605633802816902,0,0,0,0,0,0,0.0017605633802816902,0,0,8.802816901408451e-4,0,0,0,0,0,0,0.0017605633802816902,0,0,0.0017605633802816902,0.0017605633802816902,0,0.0035211267605633804,0,0
South Africa,Combined,2012-07-01,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1354,1359,0,0,0,0,7.358351729212656e-4,0,7.358351729212656e-4,0,7.358351729212656e-4,0.0014716703458425313,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014716703458425313,0.002207505518763797,0,0
South Africa,Combined,2012-08-01,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2403,2405,0,0,0,0,0,0,0,0,0,4.158004158004158e-4,4.158004158004158e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.158004158004158e-4,4.158004158004158e-4,0
South Africa,Combined,2012-09-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2122,2124,0,0,0,0,0,4.7080979284369113e-4,0,0,0,4.7080979284369113e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7080979284369113e-4,4.7080979284369113e-4,0,0
South Africa,Combined,2012-10-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2345,2348,0,0,0,0,0,0,0,0,0,8.517887563884157e-4,0,0,0,0,0,0,0,0,0,0,4.2589437819420784e-4,0,4.2589437819420784e-4,0,8.517887563884157e-4,0,0
South Africa,Combined,2012-11-01,1,0,0,0,0,0,0,1,0,6,0,1,0,0,0,0,0,0,0,0,0,1860,1869,5.350454788657035e-4,0,0,0,0,0,0,5.350454788657035e-4,0,0.0032102728731942215,0,5.350454788657035e-4,0,0,0,0,0,0,0,0,0,0.001070090957731407,0,5.350454788657035e-4,0.0032102728731942215,0,0
South Africa,Combined,2012-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,2,0,1222,1228,0,0,0,0,0,0,0,0,0,8.143322475570033e-4,0,0,0,0,0,0,8.143322475570033e-4,8.143322475570033e-4,8.143322475570033e-4,0.0016286644951140066,0,0,0,0,0.004071661237785016,0,8.143322475570033e-4
South Africa,Combined,2013-01-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1428,1430,0,0,0,0,0,0,0,0,0,6.993006993006993e-4,0,6.993006993006993e-4,0,0,0,0,0,0,0,0,0,6.993006993006993e-4,0,0,6.993006993006993e-4,0,0
South Africa,Combined,2013-02-01,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1817,1821,0.001098297638660077,0,0,0,0,0,5.491488193300384e-4,0,0,5.491488193300384e-4,0,0,0,0,0,0,0,0,0,0,0,0.001098297638660077,0,5.491488193300384e-4,5.491488193300384e-4,0,0
South Africa,Combined,2013-03-01,0,0,0,1,0,6,1,0,0,11,0,2,0,0,0,0,2,1,5,0,0,1809,1838,0,0,0,5.44069640914037e-4,0,0.003264417845484222,5.44069640914037e-4,0,0,0.005984766050054407,0,0.001088139281828074,0,0,0,0,0.001088139281828074,5.44069640914037e-4,0.002720348204570185,0,0,0.001088139281828074,0,0.004352557127312296,0.009249183895538629,0,0.001088139281828074
South Africa,Combined,2013-04-01,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0,1652,1659,0,0,0,0,0,0,0,0,0,0.0018083182640144665,0,0.0012055455093429777,0,0,0,0,0,0,6.027727546714888e-4,6.027727546714888e-4,0,0.0012055455093429777,0,0,0.0030138637733574444,0,0
South Africa,Combined,2013-05-01,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1825,1829,0,0,0,0,0,0,0,0,0,0.0016402405686167304,0,5.467468562055768e-4,0,0,0,0,0,0,0,0,0,5.467468562055768e-4,0,0,0.0016402405686167304,0,0
South Africa,Combined,2013-06-01,0,0,0,1,0,0,1,0,0,2,1,0,0,2,0,1,0,0,1,0,1,1813,1823,0,0,0,5.485463521667581e-4,0,0,5.485463521667581e-4,0,0,0.0010970927043335162,5.485463521667581e-4,0,0,0.0010970927043335162,0,5.485463521667581e-4,0,0,5.485463521667581e-4,0,5.485463521667581e-4,0.0016456390565002745,5.485463521667581e-4,0.0010970927043335162,0.0016456390565002745,5.485463521667581e-4,0
South Africa,Combined,2013-07-01,0,0,0,0,0,1,0,0,0,4,1,0,0,1,0,0,0,0,1,1,0,1772,1781,0,0,0,0,0,5.614823133071309e-4,0,0,0,0.0022459292532285235,5.614823133071309e-4,0,0,5.614823133071309e-4,0,0,0,0,5.614823133071309e-4,5.614823133071309e-4,0,5.614823133071309e-4,0,5.614823133071309e-4,0.003368893879842785,5.614823133071309e-4,0
South Africa,Combined,2013-08-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1548,1551,0,0,0,0,0,6.447453255963894e-4,0,0,0,6.447453255963894e-4,0,0,0,0,0,0,0,0,6.447453255963894e-4,0,0,0,0,6.447453255963894e-4,0.0012894906511927789,0,0
South Africa,Combined,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,2,0,1700,1707,0,0,0,0,0,0,0,0,0,0,0,5.858230814294083e-4,0,5.858230814294083e-4,5.858230814294083e-4,0,0,0,0.0011716461628588166,0.0011716461628588166,0,0.0011716461628588166,0,0,0.0023432923257176333,5.858230814294083e-4,0
South Africa,Combined,2013-10-01,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,2101,2106,0,4.748338081671415e-4,0,0,0,0,0,0,0,9.49667616334283e-4,0,0,0,4.748338081671415e-4,0,0,0,0,4.748338081671415e-4,0,0,4.748338081671415e-4,4.748338081671415e-4,0,0.0014245014245014246,0,0
South Africa,Combined,2013-11-01,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2016,2020,0,0,0,0,0,0,0,0,0,4.950495049504951e-4,0,4.950495049504951e-4,0,0,9.900990099009901e-4,0,0,0,0,0,0,4.950495049504951e-4,0,0,4.950495049504951e-4,9.900990099009901e-4,0
South Africa,Combined,2013-12-01,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2102,2105,0,0,0,0,0,0,9.501187648456057e-4,0,0,4.7505938242280285e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,9.501187648456057e-4,4.7505938242280285e-4,0,0
