country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
South Sudan,China,2012-01-01,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,200,285,0,0,0,0,0.0035087719298245615,0,0.007017543859649123,0,0,0.007017543859649123,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010526315789473684,0.007017543859649123,0,0
South Sudan,China,2012-02-01,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,225,287,0,0,0,0.010452961672473868,0.003484320557491289,0,0,0,0,0.006968641114982578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013937282229965157,0.006968641114982578,0,0
South Sudan,China,2012-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,257,391,0,0,0,0,0,0,0,0,0,0.0025575447570332483,0,0,0,0,0,0.0025575447570332483,0,0,0,0,0,0.0025575447570332483,0,0,0.0025575447570332483,0,0
South Sudan,China,2012-04-01,1,0,0,0,1,2,0,4,2,4,0,0,0,2,0,0,0,0,0,0,0,337,661,0.0015128593040847202,0,0,0,0.0015128593040847202,0.0030257186081694403,0,0.006051437216338881,0.0030257186081694403,0.006051437216338881,0,0,0,0.0030257186081694403,0,0,0,0,0,0,0,0.0045385779122541605,0,0.01059001512859304,0.009077155824508321,0,0
South Sudan,China,2012-05-01,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,290,436,0,0,0,0,0.0045871559633027525,0,0,0,0.0022935779816513763,0.0022935779816513763,0,0,0,0,0,0,0,0,0,0.0022935779816513763,0,0,0,0.0045871559633027525,0.006880733944954129,0,0
South Sudan,China,2012-06-01,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,358,0,0,0,0,0,0.002793296089385475,0.002793296089385475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00558659217877095,0,0,0
South Sudan,China,2012-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,China,2012-08-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,361,0,0,0,0,0.002770083102493075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002770083102493075,0,0,0
South Sudan,China,2012-09-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,228,334,0,0,0,0,0,0,0,0,0,0.005988023952095809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005988023952095809,0,0
South Sudan,China,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,China,2012-11-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,235,302,0,0,0,0,0,0,0,0,0,0.0033112582781456954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033112582781456954,0,0
South Sudan,China,2012-12-01,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,258,336,0,0,0,0,0.002976190476190476,0,0,0,0.002976190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002976190476190476,0.002976190476190476,0,0
South Sudan,China,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,China,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,240,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035460992907801418,0,0,0,0,0,0,0,0.0035460992907801418,0,0,0,0,0
South Sudan,China,2013-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,308,377,0,0,0,0,0,0,0,0,0,0.002652519893899204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002652519893899204,0,0
South Sudan,China,2013-04-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,276,352,0,0,0,0,0,0,0,0,0,0.002840909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002840909090909091,0,0
South Sudan,China,2013-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,399,470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002127659574468085,0,0,0,0,0.002127659574468085,0,0
South Sudan,China,2013-06-01,0,0,0,0,3,3,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,333,412,0,0,0,0,0.007281553398058253,0.007281553398058253,0,0,0,0.0048543689320388345,0,0,0,0.0024271844660194173,0,0,0,0,0,0,0,0.0024271844660194173,0,0.014563106796116505,0.0048543689320388345,0,0
South Sudan,China,2013-07-01,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,355,453,0,0,0,0,0,0.002207505518763797,0,0,0,0.008830022075055188,0,0.002207505518763797,0,0,0,0,0,0,0,0.002207505518763797,0,0.002207505518763797,0,0.002207505518763797,0.011037527593818985,0,0
South Sudan,China,2013-08-01,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,298,342,0,0,0,0,0.0029239766081871343,0,0,0.0029239766081871343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005847953216374269,0,0,0
South Sudan,China,2013-09-01,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,254,312,0,0,0,0,0.003205128205128205,0,0,0,0,0.00641025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003205128205128205,0.00641025641025641,0,0
South Sudan,China,2013-10-01,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,392,450,0,0,0,0,0,0,0,0.0022222222222222222,0.0022222222222222222,0.0022222222222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022222222222222222,0.0044444444444444444,0,0
South Sudan,China,2013-11-01,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,340,379,0,0,0,0,0.002638522427440633,0,0.002638522427440633,0,0,0.002638522427440633,0,0,0,0.002638522427440633,0,0,0,0,0,0,0,0.002638522427440633,0,0.005277044854881266,0.002638522427440633,0,0
South Sudan,China,2013-12-01,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,435,1010,0,0,0,0,0,0,0,0,0,9.900990099009901e-4,0,9.900990099009901e-4,0,0.0019801980198019802,0,0,0,0,0,0,0,0.0029702970297029703,0,0,9.900990099009901e-4,0,0
South Sudan,China,2014-01-01,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,570,942,0,0,0,0,0,0,0,0,0.0010615711252653928,0,0,0,0,0.0010615711252653928,0,0,0,0,0,0,0,0.0010615711252653928,0,0,0.0010615711252653928,0,0
South Sudan,China,2014-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,529,639,0,0,0,0,0,0,0,0,0,0.001564945226917058,0,0,0,0.001564945226917058,0,0,0,0,0,0,0,0.001564945226917058,0,0,0.001564945226917058,0,0
South Sudan,China,2014-03-01,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,599,681,0,0,0,0,0.0014684287812041115,0,0,0,0.0014684287812041115,0,0,0,0,0.0014684287812041115,0,0,0,0,0,0,0,0.0014684287812041115,0,0.0014684287812041115,0.0014684287812041115,0,0
South Sudan,China,2014-04-01,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,612,756,0,0,0,0,0,0.0013227513227513227,0,0,0.0013227513227513227,0,0,0,0,0.0013227513227513227,0,0,0,0,0.0013227513227513227,0,0,0.0013227513227513227,0,0.0013227513227513227,0.0026455026455026454,0,0
South Sudan,China,2014-05-01,1,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,635,830,0.0012048192771084338,0,0,0,0,0,0,0,0,0.0036144578313253013,0,0,0,0.0024096385542168677,0,0,0,0,0,0,0,0.0036144578313253017,0,0,0.0036144578313253013,0,0
South Sudan,China,2014-06-01,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,547,624,0,0,0,0,0,0.003205128205128205,0,0,0,0.0016025641025641025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003205128205128205,0.0016025641025641025,0,0
South Sudan,China,2014-07-01,2,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,618,718,0.002785515320334262,0.001392757660167131,0,0,0,0,0.001392757660167131,0,0,0.002785515320334262,0,0,0,0,0,0,0,0,0,0.001392757660167131,0,0.002785515320334262,0.001392757660167131,0.001392757660167131,0.004178272980501393,0,0
South Sudan,China,2014-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,667,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002621231979030144,0,0,0,0,0.001310615989515072,0,0,0.002621231979030144,0,0,0.001310615989515072,0,0
South Sudan,China,2014-09-01,1,0,0,0,0,1,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,680,744,0.0013440860215053765,0,0,0,0,0.0013440860215053765,0,0,0.002688172043010753,0,0,0,0,0.008064516129032258,0,0,0,0,0,0,0,0.009408602150537635,0,0.0013440860215053765,0.002688172043010753,0,0
South Sudan,China,2014-10-01,3,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,701,745,0.004026845637583893,0,0.0026845637583892616,0.0013422818791946308,0,0.0013422818791946308,0,0,0,0,0,0,0,0.0013422818791946308,0,0,0,0,0,0.0013422818791946308,0,0.005369127516778524,0,0.0026845637583892616,0.0013422818791946308,0.0026845637583892616,0
