country,influencer,date,year,month,-999,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,-999Norm,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm
Sri Lanka,Combined,2012-01-01,2012,1,1152,0,0,0,1,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.9948186528497408,0.0,0.0,0.0,0.0008635578583765,0.0008635578583765,0.0,0.0008635578583765,0.0008635578583765,0.0,0.0,0.0,0.001727115716753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-02-01,2012,2,1385,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9978386167146974,0.0007204610951008,0.0,0.0,0.0,0.0,0.0007204610951008,0.0,0.0007204610951008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-03-01,2012,3,1227,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.997560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0008130081300813,0.0,0.0,0.0,0.0,0.0008130081300813,0.0,0.0008130081300813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-04-01,2012,4,1132,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0.9973568281938326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008810572687224,0.0,0.0008810572687224,0.0,0.0,0.0,0.0,0.0008810572687224,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-05-01,2012,5,1286,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.994586233565352,0.0,0.0,0.0,0.0023201856148491,0.0,0.0,0.0007733952049497,0.0,0.0,0.0,0.0,0.0015467904098994,0.0,0.0,0.0,0.0,0.0,0.0,0.0007733952049497,0.0,0.0
Sri Lanka,Combined,2012-06-01,2012,6,1272,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0.9968652037617556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007836990595611,0.0,0.0,0.0,0.0015673981191222,0.0,0.0,0.0,0.0007836990595611,0.0,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-07-01,2012,7,1500,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.9973404255319148,0.0006648936170212,0.0,0.0,0.0,0.0,0.0006648936170212,0.0,0.0,0.0,0.0,0.0,0.0006648936170212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006648936170212,0.0
Sri Lanka,Combined,2012-08-01,2012,8,1396,0,0,0,3,0,1,0,2,0,2,0,6,0,5,0,0,0,0,1,0,0,0.9858757062146892,0.0,0.0,0.0,0.0021186440677966,0.0,0.0007062146892655,0.0,0.001412429378531,0.0,0.001412429378531,0.0,0.0042372881355932,0.0,0.0035310734463276,0.0,0.0,0.0,0.0,0.0007062146892655,0.0,0.0
Sri Lanka,Combined,2012-09-01,2012,9,1459,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,3,2,0,0,2,0,0.992517006802721,0.0,0.0,0.0,0.0,0.0,0.001360544217687,0.0006802721088435,0.0,0.0,0.0,0.0,0.0006802721088435,0.0,0.0,0.0,0.0020408163265306,0.001360544217687,0.0,0.0,0.001360544217687,0.0
Sri Lanka,Combined,2012-10-01,2012,10,1540,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0.9980557355800388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000648088139987,0.0,0.0,0.0,0.0,0.0,0.000648088139987,0.0,0.0,0.000648088139987,0.0,0.0,0.0,0.0
Sri Lanka,Combined,2012-11-01,2012,11,1663,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0.9964050329538646,0.0,0.0,0.0,0.0,0.0,0.0011983223487118,0.0,0.0,0.0,0.0,0.0,0.0011983223487118,0.0,0.0,0.0,0.0,0.0,0.0011983223487118,0.0,0.0,0.0
Sri Lanka,Combined,2012-12-01,2012,12,1532,0,0,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0.9948051948051948,0.0,0.0,0.0006493506493506,0.0012987012987012,0.0,0.0,0.0006493506493506,0.0,0.0,0.0,0.0,0.0,0.0,0.0006493506493506,0.0,0.0,0.0006493506493506,0.0,0.0,0.0006493506493506,0.0006493506493506
