country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Sri Lanka,Russia,2012-01-01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1156,1158,0,0,0,0,8.635578583765112e-4,0,0,0,0,0,0,8.635578583765112e-4,0,0,0,0,0,0,0,0,0,8.635578583765112e-4,0,8.635578583765112e-4,0,0,0
Sri Lanka,Russia,2012-02-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1385,1386,7.215007215007215e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.215007215007215e-4,0,0,0,0,0
Sri Lanka,Russia,2012-03-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1230,1230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2012-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1134,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2012-05-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1286,1287,0,0,0,0,0,0,0,0,0,0,0,7.77000777000777e-4,0,0,0,0,0,0,0,0,0,7.77000777000777e-4,0,0,0,0,0
Sri Lanka,Russia,2012-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1275,1276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.836990595611285e-4,0,0,0,0,7.836990595611285e-4,0,0
Sri Lanka,Russia,2012-07-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502,1503,0,0,0,0,0,6.653359946773121e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.653359946773121e-4,0,0,0
Sri Lanka,Russia,2012-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416,1416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2012-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,1469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2012-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1541,1541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2012-11-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1666,1667,0,0,0,0,0,5.998800239952009e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.998800239952009e-4,0,0,0
Sri Lanka,Russia,2012-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1539,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2013-01-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1650,1653,0,0,0,0,0,0,0,0,0,0,0,0.0012099213551119178,0,0,0,6.049606775559589e-4,0,0,0,0,0,0.0018148820326678767,0,0,0,0,0
Sri Lanka,Russia,2013-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1436,1437,0,0,0,0,0,0,0,0,0,6.958942240779402e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.958942240779402e-4,0,0
Sri Lanka,Russia,2013-03-01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1616,1618,0,0,0,0,6.180469715698393e-4,0,0,0,0,0,0,0,0,0,6.180469715698393e-4,0,0,0,0,0,0,0,0,6.180469715698393e-4,0,6.180469715698393e-4,0
Sri Lanka,Russia,2013-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2013-05-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1631,1633,6.12369871402327e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.12369871402327e-4,0,0,6.12369871402327e-4,0,0,6.12369871402327e-4,0,0
Sri Lanka,Russia,2013-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1698,1698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2013-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1697,1697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2013-08-01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1422,1423,0,0,7.027406886858749e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.027406886858749e-4,0
Sri Lanka,Russia,2013-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382,1382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2013-10-01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1442,1443,0,0,0,0,0,0,0,0,0,0,0,6.93000693000693e-4,0,0,0,0,0,0,0,0,0,6.93000693000693e-4,0,0,0,0,0
Sri Lanka,Russia,2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1496,1497,0,0,0,0,0,0,0,0,0,0,0,0,0,6.680026720106881e-4,0,0,0,0,0,0,0,6.680026720106881e-4,0,0,0,0,0
Sri Lanka,Russia,2013-12-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1444,1445,0,0,0,0,0,0,0,0,0,6.920415224913495e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.920415224913495e-4,0,0
Sri Lanka,Russia,2014-01-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1447,1448,0,0,0,0,0,0,0,0,0,6.906077348066298e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.906077348066298e-4,0,0
Sri Lanka,Russia,2014-02-01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1277,1280,0,0,0,0,0,0,0,0,0,0,0,0.0015625,0,0,7.8125e-4,0,0,0,0,0,0,0.0015625,0,0,0,7.8125e-4,0
Sri Lanka,Russia,2014-03-01,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1378,1382,0,0,0,0,0,7.23589001447178e-4,7.23589001447178e-4,0,0,0,0,7.23589001447178e-4,0,0,0,0,7.23589001447178e-4,0,0,0,0,7.23589001447178e-4,0,0.001447178002894356,0,0,7.23589001447178e-4
Sri Lanka,Russia,2014-04-01,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1021,1022,0,0,0,0,0,0,9.784735812133072e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.784735812133072e-4,0,0,0
Sri Lanka,Russia,2014-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1038,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2014-06-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1081,1082,0,0,0,0,0,0,0,0,0,0,0,0,0,9.242144177449168e-4,0,0,0,0,0,0,0,9.242144177449168e-4,0,0,0,0,0
Sri Lanka,Russia,2014-07-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1106,1106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2014-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1108,1108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2014-09-01,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1083,1084,0,0,0,0,0,0,0,9.225092250922509e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.225092250922509e-4,0,0,0
Sri Lanka,Russia,2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1329,1330,0,0,0,0,0,0,0,0,0,0,0,0,0,7.518796992481203e-4,0,0,0,0,0,0,0,7.518796992481203e-4,0,0,0,0,0
Sri Lanka,Russia,2014-11-01,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1162,1165,8.583690987124463e-4,0,0,0,0,0,0,0,0,0,0,0,0,8.583690987124463e-4,0,0,0,0,8.583690987124463e-4,0,0,0.0017167381974248926,0,0,8.583690987124463e-4,0,0
Sri Lanka,Russia,2014-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1726,1726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2015-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471,1471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2015-03-01,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1669,1671,5.984440454817474e-4,0,0,0,5.984440454817474e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.984440454817474e-4,0,5.984440454817474e-4,0,0,0
Sri Lanka,Russia,2015-04-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1706,1706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Russia,2015-05-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828,1828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
