country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Tanzania,China,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,640,640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,China,2012-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,664,665,0,0,0,0,0,0,0,0,0,0.0015037593984962407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015037593984962407,0,0
Tanzania,China,2012-03-01,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,974,981,0,0,0,0,0,0.0010193679918450561,0,0.0020387359836901123,0,0.0030581039755351682,0,0,0,0,0,0,0.0010193679918450561,0,0,0,0,0,0,0.0030581039755351687,0.0030581039755351682,0,0.0010193679918450561
Tanzania,China,2012-04-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,867,869,0,0,0,0,0,0.0011507479861910242,0,0,0,0.0011507479861910242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011507479861910242,0.0011507479861910242,0,0
Tanzania,China,2012-05-01,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,931,936,0.0010683760683760685,0,0,0,0,0,0,0,0,0.0010683760683760685,0,0.002136752136752137,0,0,0,0,0.0010683760683760685,0,0,0,0,0.0032051282051282055,0,0,0.0010683760683760685,0,0.0010683760683760685
Tanzania,China,2012-06-01,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,2,0,0,1,0,1082,1090,0,0,0,0,0,0,0,0,0,0.003669724770642202,0,0,0,0,0,9.174311926605505e-4,0.001834862385321101,0,0,9.174311926605505e-4,0,9.174311926605505e-4,0,0,0.0045871559633027525,0,0.001834862385321101
Tanzania,China,2012-07-01,0,0,0,2,0,0,1,0,2,1,0,1,0,1,0,0,1,0,2,1,0,961,973,0,0,0,0.0020554984583761563,0,0,0.0010277492291880781,0,0.0020554984583761563,0.0010277492291880781,0,0.0010277492291880781,0,0.0010277492291880781,0,0,0.0010277492291880781,0,0.0020554984583761563,0.0010277492291880781,0,0.0020554984583761563,0,0.0030832476875642346,0.006166495375128469,0,0.0010277492291880781
Tanzania,China,2012-08-01,0,0,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,2,0,963,972,0,0,0,0,0,0,0,0,0,0.0051440329218107,0,0.00102880658436214,0,0.00102880658436214,0,0,0,0,0,0.00205761316872428,0,0.00205761316872428,0,0,0.00720164609053498,0,0
Tanzania,China,2012-09-01,0,0,0,0,0,2,0,0,4,1,0,2,0,0,0,1,0,0,1,0,0,960,971,0,0,0,0,0,0.0020597322348094747,0,0,0.004119464469618949,0.0010298661174047373,0,0.0020597322348094747,0,0,0,0.0010298661174047373,0,0,0.0010298661174047373,0,0,0.003089598352214212,0,0.0020597322348094747,0.006179196704428424,0,0
Tanzania,China,2012-10-01,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1002,1005,0,0,0,0,0,9.950248756218905e-4,0,0,0,9.950248756218905e-4,0,0,0,0,0,0,0,0,9.950248756218905e-4,0,0,0,0,9.950248756218905e-4,0.001990049751243781,0,0
Tanzania,China,2012-11-01,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,1679,1684,0,0,0,0,0,0,0,0,0,0.0017814726840855108,0,0,0,0,0,0,0,0.0011876484560570072,0,0,0,0,0,0,0.002969121140142518,0,0
Tanzania,China,2012-12-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1088,1092,0,0,0,0,0,0,0,0,0,0.0018315018315018315,0,0,0,0,0,0,0,9.157509157509158e-4,9.157509157509158e-4,0,0,0,0,0,0.003663003663003663,0,0
