country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Turkey,Russia,2012-01-01,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,11324,11618,0,0,0,0,0,0,0,0,0,8.607333448097779e-5,0,3.4429333792391115e-4,0,0,0,0,0,0,8.607333448097779e-5,0,0,3.4429333792391115e-4,0,0,1.7214666896195557e-4,0,0
Turkey,Russia,2012-02-01,1,0,0,0,0,1,0,0,0,2,0,1,0,2,1,0,2,0,1,0,0,9251,9489,1.0538518284329223e-4,0,0,0,0,1.0538518284329223e-4,0,0,0,2.1077036568658446e-4,0,1.0538518284329223e-4,0,2.1077036568658446e-4,1.0538518284329223e-4,0,2.1077036568658446e-4,0,1.0538518284329223e-4,0,0,4.2154073137316893e-4,0,1.0538518284329223e-4,3.161555485298767e-4,1.0538518284329223e-4,2.1077036568658446e-4
Turkey,Russia,2012-03-01,1,0,0,1,1,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,9508,9982,1.0018032458425165e-4,0,0,1.0018032458425165e-4,1.0018032458425165e-4,0,0,0,0,3.0054097375275494e-4,0,0,0,2.003606491685033e-4,0,1.0018032458425165e-4,0,0,0,0,0,4.007212983370066e-4,0,2.003606491685033e-4,3.0054097375275494e-4,0,0
Turkey,Russia,2012-04-01,0,0,0,1,0,1,1,0,0,0,1,3,0,2,0,0,0,0,0,0,0,8808,9435,0,0,0,1.0598834128245893e-4,0,1.0598834128245893e-4,1.0598834128245893e-4,0,0,0,1.0598834128245893e-4,3.179650238473768e-4,0,2.1197668256491787e-4,0,0,0,0,0,0,0,5.299417064122947e-4,0,3.179650238473768e-4,0,1.0598834128245893e-4,0
Turkey,Russia,2012-05-01,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9462,9920,0,0,0,0,0,0,2.0161290322580645e-4,0,0,0,0,3.024193548387097e-4,0,0,0,0,0,0,0,0,0,3.024193548387097e-4,0,2.0161290322580645e-4,0,0,0
Turkey,Russia,2012-06-01,0,0,1,3,1,1,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,8993,9629,0,0,1.0385294423096895e-4,3.1155883269290684e-4,1.0385294423096895e-4,1.0385294423096895e-4,1.0385294423096895e-4,1.0385294423096895e-4,0,0,0,3.1155883269290684e-4,0,2.077058884619379e-4,0,0,0,0,0,0,0,5.192647211548448e-4,0,7.269706096167826e-4,0,1.0385294423096895e-4,0
Turkey,Russia,2012-07-01,0,0,0,1,0,0,1,0,0,3,0,1,0,5,0,0,0,0,0,0,0,9885,10442,0,0,0,9.57670944263551e-5,0,0,9.57670944263551e-5,0,0,2.873012832790653e-4,0,9.57670944263551e-5,0,4.788354721317755e-4,0,0,0,0,0,0,0,5.746025665581306e-4,0,1.915341888527102e-4,2.873012832790653e-4,0,0
Turkey,Russia,2012-08-01,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,10421,11141,0,0,0,0,0,0,8.975854950184004e-5,0,0,8.975854950184004e-5,0,8.975854950184004e-5,0,8.975854950184004e-5,0,0,0,0,0,0,0,1.795170990036801e-4,0,8.975854950184004e-5,8.975854950184004e-5,0,0
Turkey,Russia,2012-09-01,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,10630,11190,0,0,0,0,0,0,8.936550491510277e-5,0,0,0,0,8.936550491510277e-5,0,8.936550491510277e-5,0,0,1.7873100983020553e-4,0,0,0,0,1.7873100983020553e-4,0,8.936550491510277e-5,0,0,1.7873100983020553e-4
Turkey,Russia,2012-10-01,5,0,0,0,1,1,11,0,1,1,3,2,0,8,0,0,1,0,2,0,0,10489,11421,4.3779003589878294e-4,0,0,0,8.755800717975659e-5,8.755800717975659e-5,9.631380789773225e-4,0,8.755800717975659e-5,8.755800717975659e-5,2.626740215392698e-4,1.7511601435951318e-4,0,7.004640574380527e-4,0,0,8.755800717975659e-5,0,1.7511601435951318e-4,0,0,0.001313370107696349,0,0.0011382540933368357,3.5023202871902636e-4,2.626740215392698e-4,8.755800717975659e-5
