country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Ukraine,Russia,2012-01-01,1,0,0,3,4,4,6,3,1,72,0,3,0,6,3,2,1,1,12,10,4,4885,5189,1.927153594141453e-4,0,0,5.781460782424359e-4,7.708614376565812e-4,7.708614376565812e-4,0.0011562921564848719,5.781460782424359e-4,1.927153594141453e-4,0.013875505877818462,0,5.781460782424359e-4,0,0.0011562921564848719,5.781460782424359e-4,3.854307188282906e-4,1.927153594141453e-4,1.927153594141453e-4,0.0023125843129697438,0.001927153594141453,7.708614376565812e-4,0.0023125843129697438,7.708614376565812e-4,0.003854307188282906,0.01850067450375795,5.781460782424359e-4,1.927153594141453e-4
Ukraine,Russia,2012-02-01,0,0,0,5,12,7,13,3,0,86,5,8,0,10,8,2,2,1,24,34,6,5208,5701,0,0,0,8.770391159445711e-4,0.002104893878266971,0.0012278547623223997,0.002280301701455885,5.262234695667427e-4,0,0.015085072794246623,8.770391159445711e-4,0.0014032625855113139,0,0.0017540782318891423,0.0014032625855113139,3.5081564637782847e-4,3.5081564637782847e-4,1.7540782318891423e-4,0.004209787756533942,0.0059638659884230835,0.0010524469391334855,0.0035081564637782846,0.0010524469391334855,0.007016312927556569,0.02543413436239256,0.002280301701455885,3.5081564637782847e-4
Ukraine,Russia,2012-03-01,0,0,0,8,6,18,7,5,1,43,2,10,1,7,12,6,5,0,18,8,3,5595,5970,0,0,0,0.001340033500837521,0.0010050251256281408,0.003015075376884422,0.0011725293132328308,8.375209380234506e-4,1.6750418760469013e-4,0.007202680067001675,3.3500837520938025e-4,0.0016750418760469012,1.6750418760469013e-4,0.0011725293132328308,0.0020100502512562816,0.0010050251256281408,8.375209380234506e-4,0,0.003015075376884422,0.001340033500837521,5.025125628140704e-4,0.003852596314907873,5.025125628140704e-4,0.007370184254606366,0.01172529313232831,0.002345058626465662,0.0010050251256281408
Ukraine,Russia,2012-04-01,0,1,0,4,11,3,5,0,1,25,1,9,0,10,1,3,4,0,8,9,2,5808,6222,0,1.607200257152041e-4,0,6.428801028608164e-4,0.0017679202828672453,4.8216007714561236e-4,8.036001285760206e-4,0,1.607200257152041e-4,0.004018000642880103,1.607200257152041e-4,0.0014464802314368371,0,0.0016072002571520412,1.607200257152041e-4,4.8216007714561236e-4,6.428801028608164e-4,0,0.0012857602057216328,0.0014464802314368371,3.214400514304082e-4,0.0035358405657344907,4.821600771456123e-4,0.0036965605914496946,0.0069109611057537775,3.214400514304082e-4,6.428801028608164e-4
Ukraine,Russia,2012-05-01,4,0,0,6,5,28,8,3,3,36,5,9,0,4,1,0,5,0,10,10,2,5760,6285,6.364359586316627e-4,0,0,9.546539379474941e-4,7.955449482895784e-4,0.004455051710421639,0.0012728719172633255,4.7732696897374703e-4,4.7732696897374703e-4,0.005727923627684964,7.955449482895784e-4,0.001431980906921241,0,6.364359586316627e-4,1.5910898965791568e-4,0,7.955449482895784e-4,0,0.0015910898965791568,0.0015910898965791568,3.1821797931583137e-4,0.0027048528241845667,3.1821797931583137e-4,0.007955449482895784,0.009387430389817025,9.546539379474941e-4,7.955449482895784e-4
Ukraine,Russia,2012-06-01,1,0,0,6,4,8,4,3,4,35,0,5,0,4,1,2,4,5,7,5,2,5237,5878,1.701258931609391e-4,0,0,0.0010207553589656345,6.805035726437564e-4,0.0013610071452875127,6.805035726437564e-4,5.103776794828172e-4,6.805035726437564e-4,0.005954406260632868,0,8.506294658046955e-4,0,6.805035726437564e-4,1.701258931609391e-4,3.402517863218782e-4,6.805035726437564e-4,8.506294658046955e-4,0.0011908812521265737,8.506294658046955e-4,3.402517863218782e-4,0.002041510717931269,3.402517863218782e-4,0.004253147329023477,0.00952705001701259,1.701258931609391e-4,6.805035726437564e-4
Ukraine,Russia,2012-07-01,2,0,0,2,10,14,8,6,4,30,1,13,0,11,1,1,3,0,15,2,0,5968,6530,3.0627871362940275e-4,0,0,3.0627871362940275e-4,0.0015313935681470138,0.0021439509954058193,0.001225114854517611,9.188361408882082e-4,6.125574272588055e-4,0.004594180704441042,1.5313935681470137e-4,0.001990811638591118,0,0.0016845329249617152,1.5313935681470137e-4,1.5313935681470137e-4,4.594180704441041e-4,0,0.002297090352220521,3.0627871362940275e-4,0,0.004134762633996937,0,0.006125574272588055,0.007810107197549771,3.0627871362940275e-4,4.594180704441041e-4
Ukraine,Russia,2012-08-01,3,0,1,12,3,1,4,2,0,16,4,6,0,6,1,5,9,0,6,9,0,5327,5938,5.052206130010104e-4,0,1.684068710003368e-4,0.0020208824520040417,5.052206130010104e-4,1.684068710003368e-4,6.736274840013472e-4,3.368137420006736e-4,0,0.002694509936005389,6.736274840013472e-4,0.0010104412260020209,0,0.0010104412260020209,1.684068710003368e-4,8.42034355001684e-4,0.0015156618390030313,0,0.0010104412260020209,0.0015156618390030313,0,0.003368137420006736,0,0.00370495116200741,0.005220613001010441,0.0010104412260020209,0.0015156618390030313
Ukraine,Russia,2012-09-01,6,0,0,4,9,3,7,2,4,19,1,11,1,4,0,3,6,0,8,20,6,5427,5712,0.0010504201680672268,0,0,7.002801120448179e-4,0.0015756302521008404,5.252100840336134e-4,0.0012254901960784314,3.5014005602240897e-4,7.002801120448179e-4,0.003326330532212885,1.7507002801120448e-4,0.0019257703081232494,1.7507002801120448e-4,7.002801120448179e-4,0,5.252100840336134e-4,0.0010504201680672268,0,0.0014005602240896359,0.0035014005602240898,0.0010504201680672268,0.004201680672268907,0.0010504201680672268,0.004376750700280112,0.008928571428571428,1.7507002801120448e-4,0.0012254901960784314
Ukraine,Russia,2012-10-01,1,0,0,5,6,25,8,4,0,32,5,12,1,14,29,4,1,1,16,12,6,7747,8231,1.2149192078726765e-4,0,0,6.074596039363382e-4,7.289515247236059e-4,0.003037298019681691,9.719353662981412e-4,4.859676831490706e-4,0,0.0038877414651925647,6.074596039363382e-4,0.0014579030494472117,1.2149192078726765e-4,0.001700886891021747,0.0035232657028307617,4.859676831490706e-4,1.2149192078726765e-4,1.2149192078726765e-4,0.0019438707325962824,0.0014579030494472117,7.289515247236059e-4,0.003766249544405297,7.289515247236059e-4,0.005831612197788847,0.007411007168023326,0.0041307253067671,2.429838415745353e-4
