country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Uzbekistan,Combined,2012-01-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,157,183,0,0,0,0,0,0,0,0,0,0.01092896174863388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01092896174863388,0,0
Uzbekistan,Combined,2012-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,151,174,0,0,0,0,0,0.005747126436781609,0,0,0,0,0,0,0,0,0,0,0.028735632183908046,0,0,0,0,0,0,0.005747126436781609,0,0,0.028735632183908046
Uzbekistan,Combined,2012-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,186,207,0,0,0,0,0,0,0,0,0,0.004830917874396135,0,0,0,0,0,0,0.004830917874396135,0,0.004830917874396135,0,0,0,0,0,0.00966183574879227,0,0.004830917874396135
Uzbekistan,Combined,2012-04-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,187,219,0,0,0,0,0,0.0045662100456621,0,0.0045662100456621,0,0.0045662100456621,0,0,0,0,0,0,0.0091324200913242,0,0.0045662100456621,0,0,0,0,0.0091324200913242,0.0091324200913242,0,0.0091324200913242
Uzbekistan,Combined,2012-05-01,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,0,0,0,185,226,0,0,0,0,0,0,0.004424778761061947,0.004424778761061947,0,0.004424778761061947,0,0,0,0,0,0,0.004424778761061947,0.008849557522123894,0,0,0,0,0,0.008849557522123894,0.01327433628318584,0,0.004424778761061947
Uzbekistan,Combined,2012-06-01,0,0,0,0,0,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,181,223,0,0,0,0,0,0.017937219730941704,0,0.013452914798206279,0,0.02242152466367713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03139013452914798,0.02242152466367713,0,0
Uzbekistan,Combined,2012-07-01,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,391,469,0.0021321961620469083,0,0,0,0,0.0042643923240938165,0,0,0.0021321961620469083,0,0,0,0,0.0021321961620469083,0,0,0.0042643923240938165,0,0.0021321961620469083,0,0,0.0042643923240938165,0,0.0042643923240938165,0.0042643923240938165,0,0.0042643923240938165
Uzbekistan,Combined,2012-08-01,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,344,439,0,0,0,0,0,0.004555808656036446,0,0,0,0.002277904328018223,0,0,0,0,0,0,0,0,0.002277904328018223,0,0,0,0,0.004555808656036446,0.004555808656036446,0,0
Uzbekistan,Combined,2012-09-01,0,0,0,0,1,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0,282,321,0,0,0,0,0.003115264797507788,0,0.006230529595015576,0.003115264797507788,0,0.003115264797507788,0,0.003115264797507788,0,0,0,0,0.003115264797507788,0,0,0,0,0.003115264797507788,0,0.012461059190031152,0.003115264797507788,0,0.003115264797507788
Uzbekistan,Combined,2012-10-01,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,3,0,0,0,0,291,336,0,0,0,0,0,0.002976190476190476,0,0.002976190476190476,0,0.008928571428571428,0,0,0,0,0,0,0.008928571428571428,0,0,0,0,0,0,0.005952380952380952,0.008928571428571428,0,0.008928571428571428
Uzbekistan,Combined,2012-11-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,263,291,0,0,0,0,0,0,0,0,0,0.006872852233676976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006872852233676976,0,0
Uzbekistan,Combined,2012-12-01,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,210,245,0,0,0,0,0,0.0163265306122449,0.004081632653061225,0.004081632653061225,0,0,0,0,0,0,0,0,0.004081632653061225,0,0.004081632653061225,0,0,0,0,0.02448979591836735,0.004081632653061225,0,0.004081632653061225
Uzbekistan,Combined,2013-01-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,148,178,0,0,0,0,0,0.0056179775280898875,0,0,0,0,0,0,0,0,0,0,0,0,0.011235955056179775,0,0,0,0,0.0056179775280898875,0.011235955056179775,0,0
Uzbekistan,Combined,2013-02-01,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,215,245,0,0,0,0,0,0.004081632653061225,0,0,0,0.004081632653061225,0,0.004081632653061225,0,0,0,0,0,0,0,0,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0.004081632653061225,0,0
Uzbekistan,Combined,2013-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,198,221,0,0,0,0,0,0,0,0,0,0.004524886877828055,0,0,0,0,0,0,0.004524886877828055,0,0,0,0,0,0,0,0.004524886877828055,0,0.004524886877828055
Uzbekistan,Combined,2013-04-01,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,202,0,0,0,0,0.0049504950495049506,0.019801980198019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024752475247524754,0,0,0
Uzbekistan,Combined,2013-05-01,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,177,193,0,0,0,0,0,0.010362694300518135,0,0,0,0,0,0,0,0,0,0,0.015544041450777202,0,0,0,0,0,0,0.010362694300518135,0,0,0.015544041450777202
Uzbekistan,Combined,2013-06-01,0,0,0,0,0,3,1,0,0,5,0,1,0,0,0,1,0,0,0,1,0,312,346,0,0,0,0,0,0.008670520231213872,0.002890173410404624,0,0,0.014450867052023121,0,0.002890173410404624,0,0,0,0.002890173410404624,0,0,0,0.002890173410404624,0,0.005780346820809248,0,0.011560693641618497,0.017341040462427744,0,0
Uzbekistan,Combined,2013-07-01,0,0,0,1,0,6,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,334,359,0,0,0,0.002785515320334262,0,0.016713091922005572,0,0,0,0.008356545961002786,0,0.005571030640668524,0,0,0,0,0,0,0,0,0,0.005571030640668524,0,0.019498607242339833,0.008356545961002786,0,0
Uzbekistan,Combined,2013-08-01,1,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,354,374,0.00267379679144385,0,0,0,0,0.0053475935828877,0.00267379679144385,0,0,0.00267379679144385,0,0,0,0,0,0,0.008021390374331552,0,0,0,0,0.00267379679144385,0,0.00802139037433155,0.00267379679144385,0,0.008021390374331552
Uzbekistan,Combined,2013-09-01,0,1,0,0,0,1,0,1,0,4,0,0,0,0,0,0,5,3,1,0,0,361,398,0,0.002512562814070352,0,0,0,0.002512562814070352,0,0.002512562814070352,0,0.010050251256281407,0,0,0,0,0,0,0.01256281407035176,0.007537688442211055,0.002512562814070352,0,0,0,0.002512562814070352,0.005025125628140704,0.020100502512562814,0,0.01256281407035176
Uzbekistan,Combined,2013-10-01,0,0,0,0,2,0,2,0,0,3,0,0,0,1,0,0,1,0,0,0,0,363,397,0,0,0,0,0.005037783375314861,0,0.005037783375314861,0,0,0.007556675062972292,0,0,0,0.0025188916876574307,0,0,0.0025188916876574307,0,0,0,0,0.0025188916876574307,0,0.010075566750629723,0.007556675062972292,0,0.0025188916876574307
Uzbekistan,Combined,2013-11-01,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,318,359,0,0,0,0,0,0.011142061281337047,0,0.002785515320334262,0,0.002785515320334262,0,0,0,0,0,0,0,0.002785515320334262,0,0,0,0,0,0.013927576601671309,0.005571030640668524,0,0
Uzbekistan,Combined,2013-12-01,0,0,0,0,0,5,1,4,0,0,0,1,0,0,0,0,1,0,1,0,1,323,348,0,0,0,0,0,0.014367816091954023,0.0028735632183908046,0.011494252873563218,0,0,0,0.0028735632183908046,0,0,0,0,0.0028735632183908046,0,0.0028735632183908046,0,0.0028735632183908046,0.0028735632183908046,0.0028735632183908046,0.028735632183908046,0.0028735632183908046,0,0.0028735632183908046
Uzbekistan,Combined,2014-01-01,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,263,293,0.0034129692832764505,0,0,0,0.0034129692832764505,0,0,0.0034129692832764505,0,0.006825938566552901,0,0,0,0,0,0,0.0034129692832764505,0,0.0034129692832764505,0,0,0.0034129692832764505,0,0.006825938566552901,0.010238907849829351,0,0.0034129692832764505
Uzbekistan,Combined,2014-02-01,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,1,1,246,270,0,0,0,0,0,0,0,0.003703703703703704,0,0.007407407407407408,0,0,0,0,0,0,0.014814814814814815,0,0,0.003703703703703704,0.003703703703703704,0,0.003703703703703704,0.003703703703703704,0.011111111111111112,0,0.014814814814814815
Uzbekistan,Combined,2014-03-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,3,2,0,445,483,0,0,0,0,0,0,0,0,0,0.002070393374741201,0,0,0,0.002070393374741201,0,0,0.006211180124223602,0,0.006211180124223602,0.004140786749482402,0,0.002070393374741201,0,0,0.012422360248447204,0,0.006211180124223602
Uzbekistan,Combined,2014-04-01,1,0,0,1,0,0,1,0,0,7,0,0,1,0,0,0,2,1,3,0,3,657,691,0.001447178002894356,0,0,0.001447178002894356,0,0,0.001447178002894356,0,0,0.010130246020260492,0,0,0.001447178002894356,0,0,0,0.002894356005788712,0.001447178002894356,0.004341534008683068,0,0.004341534008683068,0.001447178002894356,0.004341534008683068,0.002894356005788712,0.015918958031837915,0,0.0043415340086830675
Uzbekistan,Combined,2014-05-01,0,1,0,2,1,3,2,1,0,5,0,1,0,0,0,0,4,0,0,1,4,693,740,0,0.0013513513513513514,0,0.002702702702702703,0.0013513513513513514,0.004054054054054054,0.002702702702702703,0.0013513513513513514,0,0.006756756756756757,0,0.0013513513513513514,0,0,0,0,0.005405405405405406,0,0,0.0013513513513513514,0.005405405405405406,0.0013513513513513514,0.006756756756756757,0.012162162162162163,0.008108108108108109,0,0.005405405405405406
Uzbekistan,Combined,2014-06-01,2,0,0,2,0,0,1,2,0,2,0,1,0,0,0,0,1,0,2,0,2,643,677,0.0029542097488921715,0,0,0.0029542097488921715,0,0,0.0014771048744460858,0.0029542097488921715,0,0.0029542097488921715,0,0.0014771048744460858,0,0,0,0,0.0014771048744460858,0,0.0029542097488921715,0,0.0029542097488921715,0.004431314623338257,0.0029542097488921715,0.007385524372230429,0.005908419497784343,0,0.0014771048744460858
Uzbekistan,Combined,2014-07-01,4,1,0,1,0,0,0,0,1,3,0,4,0,0,0,0,5,3,1,1,8,642,696,0.005747126436781609,0.0014367816091954023,0,0.0014367816091954023,0,0,0,0,0.0014367816091954023,0.004310344827586207,0,0.005747126436781609,0,0,0,0,0.007183908045977011,0.004310344827586207,0.0014367816091954023,0.0014367816091954023,0.011494252873563218,0.011494252873563218,0.01293103448275862,0.0014367816091954023,0.01293103448275862,0,0.007183908045977011
Uzbekistan,Combined,2014-08-01,2,2,0,4,0,3,1,1,0,9,0,2,0,2,0,1,4,2,2,2,3,662,724,0.0027624309392265192,0.0027624309392265192,0,0.0055248618784530384,0,0.004143646408839779,0.0013812154696132596,0.0013812154696132596,0,0.012430939226519336,0,0.0027624309392265192,0,0.0027624309392265192,0,0.0013812154696132596,0.0055248618784530384,0.0027624309392265192,0.0027624309392265192,0.0027624309392265192,0.004143646408839779,0.009668508287292817,0.006906077348066298,0.012430939226519336,0.020718232044198894,0,0.0055248618784530384
Uzbekistan,Combined,2014-09-01,0,0,0,1,1,1,4,2,0,1,0,1,0,0,0,1,5,2,3,1,3,663,735,0,0,0,0.0013605442176870747,0.0013605442176870747,0.0013605442176870747,0.005442176870748299,0.0027210884353741495,0,0.0013605442176870747,0,0.0013605442176870747,0,0,0,0.0013605442176870747,0.006802721088435374,0.0027210884353741495,0.004081632653061225,0.0013605442176870747,0.004081632653061225,0.0027210884353741495,0.004081632653061225,0.012244897959183673,0.009523809523809525,0,0.006802721088435374
Uzbekistan,Combined,2014-10-01,0,0,0,2,0,1,0,1,0,5,0,2,1,0,0,0,2,0,3,0,4,730,784,0,0,0,0.002551020408163265,0,0.0012755102040816326,0,0.0012755102040816326,0,0.006377551020408163,0,0.002551020408163265,0.0012755102040816326,0,0,0,0.002551020408163265,0,0.003826530612244898,0,0.00510204081632653,0.002551020408163265,0.00510204081632653,0.00510204081632653,0.010204081632653062,0,0.003826530612244898
Uzbekistan,Combined,2014-11-01,0,0,0,0,0,5,0,1,0,2,0,0,0,0,2,0,0,0,3,0,0,672,712,0,0,0,0,0,0.007022471910112359,0,0.0014044943820224719,0,0.0028089887640449437,0,0,0,0,0.0028089887640449437,0,0,0,0.004213483146067416,0,0,0,0,0.008426966292134831,0.007022471910112359,0.0028089887640449437,0
Uzbekistan,Combined,2014-12-01,1,0,0,0,1,5,0,1,1,8,0,1,0,0,0,2,6,1,2,0,2,745,812,0.0012315270935960591,0,0,0,0.0012315270935960591,0.006157635467980296,0,0.0012315270935960591,0.0012315270935960591,0.009852216748768473,0,0.0012315270935960591,0,0,0,0.0024630541871921183,0.007389162561576354,0.0012315270935960591,0.0024630541871921183,0,0.0024630541871921183,0.0049261083743842365,0.0024630541871921183,0.008620689655172414,0.014778325123152709,0,0.007389162561576354
Uzbekistan,Combined,2015-01-01,2,0,0,6,0,0,0,0,0,4,0,2,0,0,0,0,2,3,0,0,1,693,741,0.002699055330634278,0,0,0.008097165991902834,0,0,0,0,0,0.005398110661268556,0,0.002699055330634278,0,0,0,0,0.002699055330634278,0.004048582995951417,0,0,0.001349527665317139,0.005398110661268556,0.001349527665317139,0.008097165991902834,0.009446693657219972,0,0.002699055330634278
Uzbekistan,Combined,2015-02-01,3,1,0,1,0,0,3,1,0,2,0,1,0,0,0,0,8,1,0,1,1,741,803,0.0037359900373599006,0.0012453300124533001,0,0.0012453300124533001,0,0,0.0037359900373599006,0.0012453300124533001,0,0.0024906600249066002,0,0.0012453300124533001,0,0,0,0,0.009962640099626401,0.0012453300124533001,0,0.0012453300124533001,0.0012453300124533001,0.0049813200498132005,0.0024906600249066002,0.006226650062266501,0.0049813200498132005,0,0.009962640099626401
