country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Uzbekistan,Russia,2012-01-01,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,180,183,0,0,0,0,0,0,0.00546448087431694,0,0,0.00546448087431694,0,0,0,0,0,0.00546448087431694,0,0,0,0,0,0.00546448087431694,0,0.00546448087431694,0.00546448087431694,0,0
Uzbekistan,Russia,2012-02-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,172,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011494252873563218,0,0,0,0,0,0,0,0,0,0.011494252873563218
Uzbekistan,Russia,2012-03-01,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,2,0,0,0,0,199,207,0,0,0,0,0,0,0,0.00966183574879227,0,0.00966183574879227,0,0,0.00966183574879227,0,0,0,0.00966183574879227,0,0,0,0,0,0,0.00966183574879227,0.00966183574879227,0,0.01932367149758454
Uzbekistan,Russia,2012-04-01,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,214,219,0,0,0,0,0,0.0045662100456621,0,0.0045662100456621,0,0.0045662100456621,0,0,0,0,0,0,0.0091324200913242,0,0,0,0,0,0,0.0091324200913242,0.0045662100456621,0,0.0091324200913242
Uzbekistan,Russia,2012-05-01,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,221,226,0,0,0,0,0,0,0.004424778761061947,0.004424778761061947,0,0.01327433628318584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008849557522123894,0.01327433628318584,0,0
Uzbekistan,Russia,2012-06-01,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,218,223,0,0,0,0,0,0.008968609865470852,0,0,0,0.004484304932735426,0,0.004484304932735426,0,0.004484304932735426,0,0,0,0,0,0,0,0.008968609865470852,0,0.008968609865470852,0.004484304932735426,0,0
Uzbekistan,Russia,2012-07-01,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,460,469,0.0021321961620469083,0,0,0,0,0.006396588486140725,0,0,0.0021321961620469083,0,0,0,0,0.0021321961620469083,0,0,0.0021321961620469083,0,0.0042643923240938165,0,0,0.0042643923240938165,0,0.006396588486140725,0.006396588486140725,0,0.0021321961620469083
Uzbekistan,Russia,2012-08-01,0,0,0,0,0,2,0,2,0,1,0,0,0,2,0,0,0,0,1,2,0,429,439,0,0,0,0,0,0.004555808656036446,0,0.004555808656036446,0,0.002277904328018223,0,0,0,0.004555808656036446,0,0,0,0,0.002277904328018223,0.004555808656036446,0,0.004555808656036446,0,0.009111617312072893,0.009111617312072893,0,0
Uzbekistan,Russia,2012-09-01,0,0,0,0,1,0,1,0,0,2,0,3,0,0,0,0,1,0,0,0,2,311,321,0,0,0,0,0.003115264797507788,0,0.003115264797507788,0,0,0.006230529595015576,0,0.009345794392523364,0,0,0,0,0.003115264797507788,0,0,0,0.006230529595015576,0.009345794392523364,0.006230529595015576,0.006230529595015576,0.006230529595015576,0,0.003115264797507788
Uzbekistan,Russia,2012-10-01,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,330,336,0,0,0,0,0,0,0,0,0,0.008928571428571428,0,0,0,0.002976190476190476,0,0,0.005952380952380952,0,0,0,0,0.002976190476190476,0,0,0.008928571428571428,0,0.005952380952380952
Uzbekistan,Russia,2012-11-01,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,3,283,291,0,0,0,0,0,0.003436426116838488,0,0.003436426116838488,0,0.006872852233676976,0,0,0,0,0,0,0,0,0.003436426116838488,0,0.010309278350515464,0,0.010309278350515464,0.006872852233676976,0.010309278350515464,0,0
Uzbekistan,Russia,2012-12-01,0,0,0,0,0,4,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,234,245,0,0,0,0,0,0.0163265306122449,0,0.00816326530612245,0,0.012244897959183673,0,0,0,0,0,0,0,0,0.00816326530612245,0,0,0,0,0.02448979591836735,0.020408163265306124,0,0
Uzbekistan,Russia,2013-01-01,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,173,178,0,0,0,0,0,0.0056179775280898875,0.0056179775280898875,0,0,0.0056179775280898875,0,0,0,0.0056179775280898875,0,0,0,0,0.0056179775280898875,0,0,0.0056179775280898875,0,0.011235955056179775,0.011235955056179775,0,0
