country,influencer,date,arms_transfer_security_aid_assistance,bribery_economic_corruption,cyber_attack,diplomatic_action,diplomatic_mediation,diplomatic_meeting,diplomatic_statement,diplomatic_ties,foreign_aid_assistance,foreign_investment,intelligence_counterintelligence,joint_security_force_exercise,media_campaign_intervention,military_activity,political_process_policy_intervention,security_engagement,social_academic_cultural_activity,tech_transfer_investment,trade_agreement_exchange,trade_financial_sanction,transnational_organization_crime,rai_999,total_articles,arms_transfer_security_aid_assistanceNorm,bribery_economic_corruptionNorm,cyber_attackNorm,diplomatic_actionNorm,diplomatic_mediationNorm,diplomatic_meetingNorm,diplomatic_statementNorm,diplomatic_tiesNorm,foreign_aid_assistanceNorm,foreign_investmentNorm,intelligence_counterintelligenceNorm,joint_security_force_exerciseNorm,media_campaign_interventionNorm,military_activityNorm,political_process_policy_interventionNorm,security_engagementNorm,social_academic_cultural_activityNorm,tech_transfer_investmentNorm,trade_agreement_exchangeNorm,trade_financial_sanctionNorm,transnational_organization_crimeNorm,hard_power_sumNorm,backlash_sumNorm,diplomacy_sumNorm,economic_power_sumNorm,domestic_interference_sumNorm,soft_power_sumNorm
Zambia,China,2012-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,320,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003115264797507788,0,0,0,0,0,0,0,0,0,0,0.003115264797507788,0
Zambia,China,2012-02-01,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,373,0,0,0,0,0,0.002680965147453083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002680965147453083,0,0,0
Zambia,China,2012-03-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,344,347,0,0,0,0,0,0,0,0,0,0.005763688760806916,0,0,0,0,0,0,0,0,0.002881844380403458,0,0,0,0,0,0.008645533141210374,0,0
Zambia,China,2012-04-01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,327,0.0030581039755351682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030581039755351682,0,0,0,0,0
Zambia,China,2012-05-01,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,348,351,0,0,0,0,0,0,0,0,0,0.002849002849002849,0,0,0,0.002849002849002849,0,0,0.002849002849002849,0,0,0,0,0.002849002849002849,0,0,0.002849002849002849,0,0.002849002849002849
Zambia,China,2012-06-01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,335,336,0,0,0,0,0,0,0,0,0.002976190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002976190476190476,0,0
Zambia,China,2012-07-01,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,347,352,0,0,0,0,0,0,0,0,0.002840909090909091,0.011363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014204545454545456,0,0
Zambia,China,2012-08-01,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,416,420,0,0,0,0,0,0,0,0,0,0.002380952380952381,0.004761904761904762,0,0,0,0,0,0.002380952380952381,0,0,0,0,0,0,0,0.002380952380952381,0.004761904761904762,0.002380952380952381
Zambia,China,2012-09-01,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,449,453,0,0,0,0,0,0,0,0,0,0.004415011037527594,0,0,0,0,0,0,0,0,0.004415011037527594,0,0,0,0,0,0.008830022075055188,0,0
Zambia,China,2012-10-01,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443,445,0,0.0022471910112359553,0,0,0,0,0.0022471910112359553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022471910112359553,0.0022471910112359553,0,0,0
